Time,Asset,Timeframe,Type,Confidence,Price,Status,Return
2025-12-25 09:15:00,Cardano,15m,SHORT 🔴,53%,0.3505,OPEN,0.00%
2025-12-25 09:15:00,Dogecoin,15m,SHORT 🔴,57%,0.12613,OPEN,0.00%
2025-12-25 09:15:00,Avalanche,15m,LONG 🟢,51%,12.22,OPEN,0.00%
2025-12-25 04:15:00,XRP,15m,SHORT 🔴,54%,1.868,OPEN,0.05%
2025-12-25 03:15:00,Solana,15m,SHORT 🔴,41%,121.83,OPEN,-0.43%
2025-12-24 18:00:00,Cardano,1H,SHORT 🔴,44%,0.3566,HIT SL 🔴,-1.00%
2025-12-24 11:30:00,US Oil,15m,SHORT 🔴,58%,58.290000915527344,OPEN,-0.12%
2025-12-24 11:30:00,Silver Futures,1H,LONG 🟢,52%,71.78500366210938,OPEN,0.31%
2025-12-24 10:30:00,Arbitrum,15m,LONG 🟢,50%,0.1875,TIME LIMIT ⌛,0.85%
2025-12-24 09:30:00,Avalanche,15m,SHORT 🔴,42%,11.92,HIT SL 🔴,-1.00%
2025-12-24 01:45:00,Bitcoin,15m,SHORT 🔴,41%,86881,TIME LIMIT ⌛,-0.31%
2025-12-24 00:30:00,Cardano,15m,SHORT 🔴,45%,0.3567,TIME LIMIT ⌛,0.28%
2025-12-23 22:30:00,US Oil,15m,LONG 🟢,47%,58.439998626708984,HIT SL 🔴,-0.50%
2025-12-23 21:30:00,Silver Futures,15m,LONG 🟢,48%,72.2699966430664,HIT SL 🔴,-0.50%
2025-12-23 21:00:00,Ethereum,1H,SHORT 🔴,45%,2937.05,OPEN,0.35%
2025-12-23 20:15:00,Silver Futures,15m,LONG 🟢,52%,72.31999969482422,HIT SL 🔴,-0.50%
2025-12-23 20:15:00,Avalanche,15m,SHORT 🔴,40%,12.19,HIT SL 🔴,-1.00%
2025-12-23 17:30:00,Ethereum,15m,SHORT 🔴,46%,2957.03,TIME LIMIT ⌛,0.49%
2025-12-23 17:00:00,XRP,1H,SHORT 🔴,40%,1.8813,HIT TP 🟢,2.00%
2025-12-23 15:30:00,Avalanche,15m,LONG 🟢,46%,12.28,FLIP 🔄,-0.73%
2025-12-23 14:00:00,BNB,1H,SHORT 🔴,48%,840.08,HIT SL 🔴,-1.00%
2025-12-23 13:00:00,Gold Futures,1H,LONG 🟢,40%,4512.10009765625,HIT SL 🔴,-0.50%
2025-12-23 12:15:00,BNB,15m,SHORT 🔴,41%,844.26,TIME LIMIT ⌛,0.26%
2025-12-23 12:00:00,Ethereum,1H,SHORT 🔴,43%,2910.58,HIT SL 🔴,-1.00%
2025-12-23 11:00:00,Gold Futures,4H,LONG 🟢,55%,4519.10009765625,HIT SL 🔴,-0.50%
2025-12-23 11:00:00,US Oil,4H,LONG 🟢,52%,58.459999084472656,HIT SL 🔴,-0.50%
2025-12-23 11:00:00,US Oil,15m,LONG 🟢,64%,57.970001220703125,HIT TP 🟢,1.00%
2025-12-23 10:30:00,Nasdaq 100,15m,LONG 🟢,59%,25483.908203125,OPEN,0.67%
2025-12-23 10:15:00,S&P 500,15m,LONG 🟢,68%,6881.2099609375,TIME LIMIT ⌛,0.73%
2025-12-23 10:00:00,Silver Futures,1H,LONG 🟢,74%,69.81999969482422,HIT TP 🟢,1.00%
2025-12-23 09:30:00,Silver Futures,15m,SHORT 🔴,41%,69.6449966430664,HIT TP 🟢,1.00%
2025-12-23 08:45:00,Gold Futures,15m,SHORT 🔴,59%,4510,HIT TP 🟢,1.00%
2025-12-23 08:30:00,Avalanche,15m,SHORT 🔴,66%,12.11,HIT SL 🔴,-1.00%
2025-12-23 07:15:00,Ethereum,15m,SHORT 🔴,66%,2958.37,TIME LIMIT ⌛,-0.19%
2025-12-23 07:00:00,Ethereum,1H,SHORT 🔴,62%,2962.26,HIT TP 🟢,2.00%
