Setup,Config,Asset,Class,Date,Type,PnL %
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-06 16:30:00,CLS_SHORT,0.85
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-06 20:30:00,CLS_SHORT,0.86
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-13 15:30:00,CLS_SHORT,0.85
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-21 16:30:00,CLS_LONG,2.75
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-21 18:30:00,CLS_LONG,1.79
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-12-15 14:30:00,CLS_SHORT,0.7
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-12-15 16:30:00,CLS_SHORT,0.85
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-06 16:30:00,CLS_SHORT,0.85
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-06 20:30:00,CLS_SHORT,0.86
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-13 15:30:00,CLS_SHORT,0.85
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-21 16:30:00,CLS_LONG,2.75
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-21 18:30:00,CLS_LONG,1.79
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-12-15 14:30:00,CLS_SHORT,0.7
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-12-15 16:30:00,CLS_SHORT,0.85
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-07 19:00:00,CLS_LONG,0.4
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-07 23:00:00,CLS_LONG,0.41
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-16 06:00:00,CLS_LONG,-0.24
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-16 11:00:00,CLS_LONG,-0.23
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-20 17:00:00,CLS_LONG,1.25
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-20 19:00:00,CLS_LONG,1.25
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-21 01:00:00,CLS_LONG,1.23
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-10-28 06:00:00,CLS_LONG,1.19
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-05 14:00:00,CLS_SHORT,-0.13
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-05 16:00:00,CLS_SHORT,0.39
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-20 04:00:00,CLS_SHORT,-0.07
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-20 07:00:00,CLS_SHORT,-0.08
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-20 13:00:00,CLS_SHORT,-0.19
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-21 12:00:00,CLS_SHORT,1.14
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-21 16:00:00,CLS_SHORT,1.23
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-21 19:00:00,CLS_SHORT,1.16
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-11-24 01:00:00,CLS_SHORT,1.22
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-12-11 02:00:00,CLS_LONG,-0.11
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-12-19 07:00:00,CLS_LONG,-0.26
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-12-19 15:00:00,CLS_LONG,-0.24
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-12-19 20:00:00,CLS_LONG,-0.22
Daily -> 1H,B (Sensitive: 1.5x/10),DX-Y.NYB,TradFi,2025-12-22 05:00:00,CLS_LONG,-0.05
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-10-21 02:00:00,CLS_SHORT,2.96
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-10-21 05:00:00,CLS_SHORT,2.61
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-10-21 07:00:00,CLS_SHORT,2.01
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-12 15:00:00,CLS_LONG,-1.99
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-13 23:00:00,CLS_LONG,-0.96
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-14 07:00:00,CLS_LONG,-0.83
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-26 01:00:00,CLS_LONG,1.04
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-26 15:00:00,CLS_LONG,0.83
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-27 04:00:00,CLS_LONG,1.04
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-12 15:00:00,CLS_SHORT,-1.57
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-15 14:00:00,CLS_SHORT,-0.66
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-17 07:00:00,CLS_SHORT,-0.59
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-18 08:00:00,CLS_SHORT,-0.5
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-18 19:00:00,CLS_SHORT,-1.2
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-19 00:00:00,CLS_SHORT,-1.23
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-29 15:00:00,CLS_SHORT,0.25
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-29 17:00:00,CLS_SHORT,0.32
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-30 00:00:00,CLS_SHORT,0.52
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-30 20:00:00,CLS_SHORT,0.58
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-31 04:00:00,CLS_SHORT,0.29
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-31 15:00:00,CLS_SHORT,0.43
