datetime,open,high,low,close,volume
2026-01-09 15:00:00,13.95,14.15,13.95,14.0,33.3
2026-01-09 16:00:00,14.0,14.0,14.0,14.0,0.0
2026-01-09 17:00:00,14.03,14.03,14.03,14.03,1.0
2026-01-09 18:00:00,13.86,13.86,13.79,13.79,3.93
2026-01-09 19:00:00,13.8,13.8,13.72,13.72,22.02
2026-01-09 20:00:00,13.72,13.72,13.72,13.72,0.0
2026-01-09 21:00:00,13.72,13.72,13.72,13.72,0.0
2026-01-09 22:00:00,13.72,13.72,13.72,13.72,0.0
2026-01-09 23:00:00,13.84,13.84,13.81,13.81,39.37
2026-01-10 00:00:00,13.75,13.75,13.75,13.75,63.73
2026-01-10 01:00:00,13.75,13.75,13.75,13.75,0.0
2026-01-10 02:00:00,13.75,13.75,13.75,13.75,0.0
2026-01-10 03:00:00,13.68,13.68,13.66,13.66,14.65
2026-01-10 04:00:00,13.67,13.67,13.67,13.67,0.36
2026-01-10 05:00:00,13.7,13.7,13.7,13.7,3.84
2026-01-10 06:00:00,13.72,13.72,13.72,13.72,150.37
2026-01-10 07:00:00,13.72,13.72,13.72,13.72,0.0
2026-01-10 08:00:00,13.79,13.79,13.79,13.79,2.18
2026-01-10 09:00:00,13.81,13.84,13.81,13.84,6.56
2026-01-10 10:00:00,13.86,13.86,13.86,13.86,7.35
2026-01-10 11:00:00,13.86,13.86,13.86,13.86,0.0
2026-01-10 12:00:00,13.83,13.83,13.83,13.83,2.17
2026-01-10 13:00:00,13.87,13.88,13.87,13.88,0.65
2026-01-10 14:00:00,13.82,13.82,13.82,13.82,1.46
2026-01-10 15:00:00,13.82,13.82,13.82,13.82,10.78
2026-01-10 16:00:00,13.82,13.82,13.82,13.82,0.0
2026-01-10 17:00:00,13.82,13.82,13.82,13.82,0.0
2026-01-10 18:00:00,13.88,13.88,13.84,13.84,2.95
2026-01-10 19:00:00,13.86,13.88,13.86,13.88,4.84
2026-01-10 20:00:00,13.89,13.9,13.86,13.86,2.93
2026-01-10 21:00:00,13.82,13.82,13.8,13.8,3.69
2026-01-10 22:00:00,13.75,13.78,13.75,13.78,0.51
2026-01-10 23:00:00,13.78,13.78,13.78,13.78,0.0
2026-01-11 00:00:00,13.73,13.73,13.73,13.73,0.45
2026-01-11 01:00:00,13.76,13.76,13.76,13.76,0.72
2026-01-11 02:00:00,13.72,13.72,13.69,13.69,0.42
2026-01-11 03:00:00,13.73,13.73,13.73,13.73,5.8
2026-01-11 04:00:00,13.73,13.73,13.73,13.73,0.0
2026-01-11 05:00:00,13.73,13.73,13.73,13.73,0.0
2026-01-11 06:00:00,13.73,13.73,13.73,13.73,0.0
2026-01-11 07:00:00,13.79,13.79,13.79,13.79,1.31
2026-01-11 08:00:00,13.79,13.79,13.79,13.79,0.0
2026-01-11 09:00:00,13.82,13.84,13.82,13.82,38.67
2026-01-11 10:00:00,13.82,13.82,13.82,13.82,0.0
2026-01-11 11:00:00,13.82,13.82,13.82,13.82,0.76
2026-01-11 12:00:00,13.85,13.85,13.85,13.85,0.25
2026-01-11 13:00:00,13.85,13.85,13.85,13.85,0.0
2026-01-11 14:00:00,13.87,13.87,13.87,13.87,13.0
2026-01-11 15:00:00,13.96,13.96,13.9,13.91,24.53
2026-01-11 16:00:00,13.86,13.99,13.84,13.96,269.33
2026-01-11 17:00:00,13.97,13.97,13.93,13.97,53.71
2026-01-11 18:00:00,13.93,13.93,13.91,13.91,20.23
2026-01-11 19:00:00,13.88,13.89,13.88,13.89,26.0
2026-01-11 20:00:00,13.85,13.85,13.66,13.74,196.97
2026-01-11 21:00:00,13.74,13.74,13.64,13.71,9.01
2026-01-11 22:00:00,13.71,13.71,13.66,13.68,6.13
2026-01-11 23:00:00,13.59,13.59,13.55,13.56,11.69
2026-01-12 00:00:00,13.7,13.79,13.7,13.72,27.42
2026-01-12 01:00:00,13.79,13.91,13.79,13.88,96.43
2026-01-12 02:00:00,13.91,14.05,13.91,14.05,20.14
2026-01-12 03:00:00,14.09,14.23,14.06,14.06,16.99
2026-01-12 04:00:00,14.02,14.03,14.02,14.02,154.5
2026-01-12 05:00:00,14.04,14.05,14.04,14.05,6.78
2026-01-12 06:00:00,13.98,14.0,13.95,13.98,7.71
2026-01-12 07:00:00,13.94,13.94,13.79,13.79,28.76
2026-01-12 08:00:00,13.72,13.72,13.58,13.58,3.85
2026-01-12 09:00:00,13.61,13.65,13.61,13.65,3.59
2026-01-12 10:00:00,13.65,13.65,13.65,13.65,0.0
2026-01-12 11:00:00,13.69,13.69,13.69,13.69,0.11
2026-01-12 12:00:00,13.68,13.71,13.68,13.71,31.73
2026-01-12 13:00:00,13.57,13.62,13.57,13.62,3.77
2026-01-12 14:00:00,13.49,13.71,13.49,13.71,41.0
2026-01-12 15:00:00,13.77,13.89,13.77,13.89,40.54
2026-01-12 16:00:00,13.89,13.93,13.85,13.85,64.79
2026-01-12 17:00:00,13.73,13.73,13.73,13.73,3.15
2026-01-12 18:00:00,13.74,13.74,13.73,13.73,16.53
2026-01-12 19:00:00,13.73,13.73,13.73,13.73,0.0
2026-01-12 20:00:00,13.75,13.75,13.75,13.75,2.18
2026-01-12 21:00:00,13.61,13.61,13.58,13.58,4.36
2026-01-12 22:00:00,13.57,13.57,13.57,13.57,5.23
2026-01-12 23:00:00,13.55,13.55,13.55,13.55,1151.19
2026-01-13 00:00:00,13.54,13.54,13.54,13.54,19.21
2026-01-13 01:00:00,13.55,13.55,13.49,13.49,36.15
