datetime,open,high,low,close,volume
2023-04-29,17.52,17.83,16.5,16.85,13734.95
2023-05-03,16.82,17.49,16.37,16.58,27071.92
2023-05-07,16.59,16.72,14.74,15.53,29865.89
2023-05-11,15.51,15.53,14.55,15.02,5980.48
2023-05-15,14.95,15.34,14.46,14.69,7301.28
2023-05-19,14.68,14.83,14.1,14.68,6839.87
2023-05-23,14.65,14.92,13.73,14.33,8870.2
2023-05-27,14.36,15.04,14.25,14.44,20290.48
2023-05-31,14.39,14.58,13.85,14.56,5143.99
2023-06-04,14.56,14.92,13.27,13.88,53233.95
2023-06-08,13.85,14.23,10.71,11.56,46562.72
2023-06-12,11.57,11.98,11.09,11.4,49498.42
2023-06-16,11.38,11.81,11.19,11.42,17546.78
2023-06-20,11.47,13.49,11.23,13.29,16541.05
2023-06-24,13.24,13.66,12.76,13.2,8332.76
2023-06-28,13.18,13.32,12.14,13.01,27245.99
2023-07-02,13.01,13.46,12.5,12.66,12306.39
2023-07-06,12.66,14.2,12.25,13.59,22327.18
2023-07-10,13.57,14.16,12.87,14.06,21288.52
2023-07-14,14.08,15.94,13.88,14.46,28827.199999999997
2023-07-18,14.41,14.63,13.56,13.95,16484.14
2023-07-22,13.99,14.03,12.86,13.34,7665.59
2023-07-26,13.33,13.46,13.04,13.27,6637.51
2023-07-30,13.28,13.39,12.41,12.54,9091.25
2023-08-03,12.56,12.66,12.28,12.58,4604.75
2023-08-07,12.6,12.79,12.21,12.49,8066.37
2023-08-11,12.48,12.55,12.18,12.35,4393.52
2023-08-15,12.36,12.36,10.11,10.82,15254.98
2023-08-19,10.8,10.91,9.74,10.15,7260.2
2023-08-23,10.15,10.44,9.9,10.08,6850.8
2023-08-27,10.08,11.19,9.92,10.4,10881.28
2023-08-31,10.36,10.54,9.77,9.85,8357.26
2023-09-04,9.87,10.13,9.66,10.07,6175.39
2023-09-08,10.11,10.15,9.09,9.23,9236.17
2023-09-12,9.23,9.57,9.12,9.43,7256.09
2023-09-16,9.45,9.6,8.83,9.22,6457.299999999999
2023-09-20,9.22,9.23,8.75,8.88,8645.449999999999
2023-09-24,8.89,9.17,8.63,8.91,4009.37
2023-09-28,8.91,9.81,8.91,9.72,9505.99
2023-10-02,9.77,10.3,9.17,10.16,14370.04
2023-10-06,10.17,11.83,9.3,9.53,17935.35
