datetime,open,high,low,close,volume
2026-01-09 15:00:00,890.06,898.46,888.47,892.61,8.542
2026-01-09 16:00:00,896.44,900.58,895.34,900.3,5.514
2026-01-09 17:00:00,900.41,900.41,895.32,899.69,3.483
2026-01-09 18:00:00,898.76,898.76,892.61,896.12,4.125
2026-01-09 19:00:00,895.24,895.47,891.13,893.45,0.483
2026-01-09 20:00:00,895.89,895.89,893.42,893.43,0.469
2026-01-09 21:00:00,895.15,896.39,893.68,895.53,0.367
2026-01-09 22:00:00,896.37,900.15,896.37,900.15,2.478
2026-01-09 23:00:00,897.32,898.04,897.02,898.04,0.265
2026-01-10 00:00:00,897.66,898.52,895.36,898.05,7.61
2026-01-10 01:00:00,898.53,900.18,897.92,900.18,0.195
2026-01-10 02:00:00,899.11,900.33,897.96,899.84,4.188
2026-01-10 03:00:00,900.31,906.77,897.83,904.28,8.703
2026-01-10 04:00:00,907.13,907.13,902.04,906.99,3.725
2026-01-10 05:00:00,905.78,909.0,905.78,908.28,4.519
2026-01-10 06:00:00,907.35,907.35,904.18,905.27,0.257
2026-01-10 07:00:00,907.34,907.72,904.47,905.78,0.229
2026-01-10 08:00:00,904.15,904.78,903.53,903.53,2.659
2026-01-10 09:00:00,902.58,902.58,900.29,902.57,6.033
2026-01-10 10:00:00,901.41,901.41,900.55,900.97,0.317
2026-01-10 11:00:00,902.72,902.72,900.03,900.03,0.632
2026-01-10 12:00:00,900.08,901.83,897.41,900.19,0.59
2026-01-10 13:00:00,899.45,902.55,899.45,902.55,0.157
2026-01-10 14:00:00,902.62,904.15,899.8,904.1,4.682
2026-01-10 15:00:00,904.74,910.66,904.74,909.38,3.619
2026-01-10 16:00:00,910.41,910.41,905.5,907.33,3.687
2026-01-10 17:00:00,910.45,911.08,908.03,909.1,0.689
2026-01-10 18:00:00,909.29,912.17,906.95,910.45,4.511
2026-01-10 19:00:00,912.81,914.64,912.07,914.39,0.745
2026-01-10 20:00:00,912.83,914.64,910.55,910.55,1.344
2026-01-10 21:00:00,909.49,909.49,901.51,901.51,6.948
2026-01-10 22:00:00,904.72,904.72,901.64,903.03,3.268
2026-01-10 23:00:00,905.43,908.03,902.19,906.87,2.899
2026-01-11 00:00:00,908.76,910.04,904.28,906.39,5.864
2026-01-11 01:00:00,906.66,907.42,904.16,907.42,2.146
2026-01-11 02:00:00,908.18,910.84,906.6,910.84,5.588
2026-01-11 03:00:00,910.4,913.45,909.58,913.2,3.408
2026-01-11 04:00:00,913.45,915.6,910.43,912.51,0.818
2026-01-11 05:00:00,912.5,912.79,909.88,912.37,0.321
2026-01-11 06:00:00,913.96,914.43,912.02,912.73,0.272
2026-01-11 07:00:00,914.63,915.47,912.75,912.75,7.273
2026-01-11 08:00:00,914.14,916.49,912.68,915.86,5.884
2026-01-11 09:00:00,916.76,916.76,912.02,912.06,0.085
2026-01-11 10:00:00,911.93,913.65,911.93,912.13,3.16
2026-01-11 11:00:00,913.13,913.13,913.13,913.13,0.033
2026-01-11 12:00:00,913.71,914.95,912.64,914.95,0.223
2026-01-11 13:00:00,913.6,916.04,911.94,911.94,0.486
2026-01-11 14:00:00,914.46,915.4,909.6,911.65,11.828
2026-01-11 15:00:00,910.46,912.52,906.94,909.78,9.13
2026-01-11 16:00:00,907.81,911.4,907.81,911.04,0.749
2026-01-11 17:00:00,909.17,909.17,906.04,906.04,0.302
2026-01-11 18:00:00,906.19,907.94,904.25,904.43,0.464
2026-01-11 19:00:00,906.88,906.88,904.15,906.2,2.415
2026-01-11 20:00:00,904.32,904.82,900.6,902.74,0.601
2026-01-11 21:00:00,900.89,905.4,900.3,905.4,0.43
2026-01-11 22:00:00,903.82,904.04,902.72,903.51,1.084
2026-01-11 23:00:00,900.31,904.15,900.0,903.88,8.336
2026-01-12 00:00:00,903.96,905.7,899.0,899.0,9.131
2026-01-12 01:00:00,903.81,905.52,900.31,904.09,2.632
