datetime,open,high,low,close,volume
2025-10-18,106715.43,107385.82,106368.11,106959.99,4.79624
2025-10-19,107207.1,109412.23,106108.0,108455.55,7.79803
2025-10-20,108820.95,111631.1,107466.61,110519.56,10.41088
2025-10-21,110475.46,113893.72,107519.06,108594.71,11.47998
2025-10-22,108329.95,109631.42,106745.4,107586.53,105.61791
2025-10-23,107586.56,111266.46,107486.95,110070.09,98.71822
2025-10-24,110069.99,111935.97,109698.11,111030.0,6.68751
2025-10-25,110942.07,111882.18,110500.8,111683.45,1.624
2025-10-26,111370.5,115281.19,111190.13,114687.19,4.97798
2025-10-27,114686.07,116266.27,113876.19,114210.0,5.56517
2025-10-28,113923.68,116000.0,112251.72,112858.98,7.98826
2025-10-29,112858.99,113616.07,109357.82,110145.05,12.65988
2025-10-30,110143.82,111544.84,106306.83,108301.73,10.88125
2025-10-31,108333.27,111113.46,108297.24,109740.02,4.79517
2025-11-01,109739.4,110571.05,109368.37,110000.17,2.58082
2025-11-02,110180.35,111234.51,109500.0,110675.77,1.33874
2025-11-03,110719.97,110750.32,105352.99,106350.88,22.16319
2025-11-04,106352.22,107278.39,99000.03,101752.18,38.55566
2025-11-05,101380.85,104500.0,99000.0,104097.61,17.75276
2025-11-06,103816.47,104126.07,100380.68,101449.54,12.12166
2025-11-07,101444.75,104037.99,99301.26,103700.0,14.03899
2025-11-08,103364.1,103595.71,101512.3,102473.99,3.88394
2025-11-09,102472.89,105499.99,101419.94,104904.38,4.86357
2025-11-10,104900.18,106633.78,104371.8,106194.85,12.31884
2025-11-11,105934.44,107428.72,102500.04,103208.79,7.75398
2025-11-12,103204.83,105311.48,100850.0,101783.24,5.23829
2025-11-13,101680.01,104022.2,98066.09,99943.75,21.54469
2025-11-14,99943.16,99943.16,94106.25,94740.41,25.11582
2025-11-15,94395.35,96763.37,94395.35,95519.21,4.54305
2025-11-16,95530.85,96715.83,93000.01,94299.99,8.81589
2025-11-17,94290.56,95948.96,91325.11,92271.38,21.16073
2025-11-18,92015.16,93790.0,89365.82,92944.17,28.51729
2025-11-19,92730.02,92939.17,88622.68,91240.41,16.83416
2025-11-20,91533.42,93102.64,86146.12,87062.01,29.97528
2025-11-21,86808.65,87622.16,80811.38,85003.21,46.71717
2025-11-22,85004.36,85572.35,83571.96,84670.71,6.66205
2025-11-23,84890.99,88141.12,84636.8,86982.78,12.34897
2025-11-24,86983.02,89239.96,85352.71,88512.08,16.40416
2025-11-25,88312.39,88510.85,86212.12,87573.26,12.896
2025-11-26,87331.92,90600.57,86354.66,90577.72,11.86205
2025-11-27,90574.6,91945.46,90144.7,91452.2,7.7946
2025-11-28,91268.49,93068.58,90242.93,90921.52,7.14297
2025-11-29,90804.65,91158.03,90211.71,90878.9,5.12862
2025-11-30,90868.68,91970.37,90419.25,90589.87,3.55648
2025-12-01,90368.32,90586.46,83876.63,86249.78,21.77684
2025-12-02,86499.16,92211.29,86205.75,91550.01,11.30193
2025-12-03,91264.68,94093.38,91037.58,93747.41,13.46152
2025-12-04,93414.85,94068.87,90932.86,92125.79,10.53582
2025-12-05,92291.3,92669.99,88148.23,89094.11,8.06633
2025-12-06,89395.49,90234.24,88939.05,89422.79,4.04298
2025-12-07,89416.57,91707.55,87784.33,90419.25,5.34398
2025-12-08,90233.88,92257.78,89675.81,90817.84,7.06437
2025-12-09,90551.18,94629.02,89510.8,92974.58,35.81223
2025-12-10,92572.99,94491.53,91599.99,91946.89,13.82233
2025-12-11,91951.14,93496.9,89339.11,92596.49,10.26806
2025-12-12,92593.75,92715.7,89521.4,90294.75,10.62295
2025-12-13,90366.99,90681.45,89822.51,90298.85,5.58581
2025-12-14,90298.72,90463.27,87645.64,88314.15,13.97374
2025-12-15,88310.63,89999.85,85111.26,86486.12,16.63779
2025-12-16,86379.42,88111.1,85248.37,87630.85,6.56303
2025-12-17,87877.6,90268.05,85336.0,86283.3,18.2546
2025-12-18,86283.19,89494.76,84583.57,85300.0,15.52942
2025-12-19,85563.43,89337.52,85185.26,88196.84,7.57817
2025-12-20,88199.54,88548.26,87902.99,88394.5,1.60953
2025-12-21,88394.22,89044.73,87650.0,88656.95,3.04908
2025-12-22,88657.31,90500.0,87955.14,88304.51,23.01041
2025-12-23,88601.69,88900.57,86611.31,87328.71,7.50012
2025-12-24,87600.71,88137.63,86499.44,87826.28,6.31353
2025-12-25,87652.01,88591.99,87020.76,87460.82,5.23838
2025-12-26,87080.44,89512.3,86748.15,87338.29,4.06023
2025-12-27,87488.46,87931.94,87274.76,87931.94,2.86545
2025-12-28,87708.15,88067.4,87483.78,87724.87,2.96964
2025-12-29,87971.99,90340.42,86809.06,87200.26,13.76117
2025-12-30,87341.49,89337.52,86842.37,88432.11,14.70292
2025-12-31,88544.43,89111.76,87324.16,87709.88,17.18336
2026-01-01,87699.89,88879.31,87496.63,88872.33,8.32933
2026-01-02,88878.3,91000.0,88422.7,89945.17,572.03238
2026-01-03,90154.24,90729.46,89312.01,90711.43,99.46572
