datetime,open,high,low,close,volume
2024-02-26,51745.0,63583.26,50930.04,63068.89,1090.65313
2024-03-04,63068.89,69999.0,58618.0,68978.46,1077.567724
2024-03-11,68919.36,73779.26,64572.53,68397.9,881.30769
2024-03-18,68397.89,68868.58,60802.51,67173.0,643.25777
2024-03-25,67180.4,71668.99,66306.57,71319.74,423.80652
2024-04-01,71322.38,71322.38,64555.01,69335.89,413.40237
2024-04-08,69255.01,72740.2,61723.97,65780.16,560.12394
2024-04-15,65826.97,66824.65,59631.64,64957.64,487.56584
2024-04-22,64957.64,67176.25,62500.0,63137.36,214.62403
2024-04-29,63137.36,64690.43,56603.15,64021.14,374.74737
2024-05-06,63994.76,65460.03,60250.0,61493.88,234.53157
2024-05-13,61444.29,67690.22,60728.58,66356.97,262.24551
2024-05-20,66292.85,71700.0,66150.0,68555.48,312.90522
2024-05-27,68472.93,70622.67,66716.79,67820.77,177.33699
2024-06-03,67756.81,71949.57,67610.13,69669.98,228.01972
2024-06-10,69683.21,70154.98,65255.3,66751.55,173.54442
2024-06-17,66770.0,67237.97,63212.76,63216.34,139.67671
2024-06-24,63216.36,63367.35,58888.0,62840.74,172.24717
2024-07-01,62801.81,63834.03,53917.17,55855.27,211.18507
2024-07-08,55905.14,61401.55,54300.0,60815.46,190.56752
2024-07-15,60827.48,68203.04,60670.87,68011.05,264.2267
2024-07-22,68011.06,69357.98,63500.0,68260.41,208.07544
2024-07-29,68261.03,69900.0,57597.96,58156.48,290.02828
2024-08-05,58156.48,62710.86,49633.02,58765.99,479.22718
2024-08-12,58775.69,61736.77,56125.52,58720.08,247.6851
2024-08-19,58698.78,64995.32,58000.0,64250.24,199.66623
2024-08-26,64264.6,64400.0,57250.0,57362.31,162.68072
2024-09-02,57410.3,59767.94,52635.18,54810.82,201.02865
2024-09-09,54877.2,60500.01,54601.32,59114.86,174.76116
2024-09-16,59082.3,64077.58,57504.72,63599.71,219.59391
2024-09-23,63600.0,66398.77,62617.72,65670.63,136.71999
2024-09-30,65571.02,65645.89,59901.67,62807.02,152.82214
2024-10-07,62757.67,64329.1,58947.8,62857.8,138.16662
2024-10-14,62797.43,69100.0,62459.21,69029.51,164.55296
2024-10-21,68929.97,69332.17,65295.86,67900.0,176.4991
2024-10-28,67900.0,73272.49,67516.94,68724.23,282.64472
2024-11-04,68638.78,81497.77,67000.0,80452.94,361.873936
2024-11-11,80429.87,93225.58,80210.58,89792.0,570.47708
2024-11-18,89800.0,99489.97,89457.25,97700.51,386.04318
2024-11-25,97908.56,98761.24,90835.75,97249.75,233.19582
2024-12-02,97237.72,103985.03,92617.1,101159.43,321.45383
2024-12-09,101189.57,104837.56,94183.05,104334.87,239.40866
2024-12-16,104334.79,108280.0,92324.15,95119.37,209.49373
2024-12-23,95119.43,99842.45,92597.45,93861.71,153.80528
2024-12-30,93685.81,98897.97,91573.94,98300.03,107.93847
2025-01-06,98380.0,102695.99,91283.3,94455.62,119.82776
2025-01-13,94561.19,106351.62,89438.45,101032.19,172.58743
2025-01-20,101032.8,109461.87,99611.36,102618.04,217.16965
2025-01-27,102618.04,106300.0,96501.73,97692.6,216.30814
2025-02-03,97702.5,102326.68,92197.0,96426.86,171.29131
2025-02-10,96514.66,98668.27,94246.95,96204.12,89.6472
2025-02-17,96173.82,99390.16,93459.81,96213.12,82.79509
2025-02-24,96299.99,96428.57,78369.4,94369.84,175.97765
2025-03-03,94369.84,94447.19,80084.75,80672.47,137.04123
2025-03-10,80784.64,85248.42,76666.0,82560.05,96.5687
2025-03-17,82612.8,87260.23,81254.43,86000.0,63.96227
2025-03-24,86000.0,88736.23,81664.4,82400.08,102.41377
2025-03-31,82395.34,88369.07,77250.01,78393.4,112.54683
2025-04-07,78478.36,86000.0,74557.35,83782.86,162.42561
2025-04-14,83764.2,86382.4,83158.08,85175.29,43.04973
2025-04-21,85175.11,95700.0,85175.11,93713.37,94.74153
2025-04-28,93741.01,97854.29,92780.71,94333.24,46.20416
2025-05-05,94298.15,104892.63,93425.52,104085.76,80.23055
2025-05-12,104085.76,106452.63,100757.08,106452.63,81.48041
2025-05-19,106452.63,111945.48,102089.43,108917.86,158.76485
2025-05-26,108956.56,110688.47,102906.0,105571.94,78.1998
2025-06-02,105609.6,106761.46,100425.95,105790.58,66.79248
2025-06-09,105742.83,110342.38,102711.06,105540.14,90.66221
2025-06-16,105520.11,108833.3,98254.52,100900.6,66.0752
2025-06-23,100871.62,108473.62,99594.16,108296.9,45.07087
2025-06-30,108382.69,110493.51,105157.89,109216.4,131.21259
2025-07-07,109121.93,119384.16,107500.0,119098.77,140.75497
2025-07-14,119073.56,123119.12,115824.13,117232.91,132.96382
2025-07-21,117145.08,120588.88,114771.42,119395.67,109.69617
2025-07-28,119395.67,119744.14,111931.24,114126.62,67.33097
2025-08-04,114251.79,119253.82,112711.29,118980.47,194.47875
2025-08-11,119212.55,124366.55,116839.76,117444.35,322.19203
2025-08-18,117421.21,118000.0,110826.45,113400.01,190.59379
2025-08-25,113400.01,113543.14,107443.08,108432.11,46.5667
2025-09-01,108136.0,113294.17,107313.41,111489.92,41.01036
2025-09-08,111079.43,116666.65,110708.95,115555.39,82.09822
2025-09-15,115550.3,117800.0,114427.37,115459.7,60.11552
2025-09-22,115250.83,115449.99,108221.0,112083.01,264.5629
2025-09-29,111958.17,125493.63,111490.24,123294.13,326.98458
2025-10-06,123530.38,125999.0,109278.0,115252.21,222.77916
2025-10-13,114910.0,115876.47,103800.0,108455.55,351.45491
2025-10-20,108820.95,115281.19,106745.4,114687.19,239.51648
2025-10-27,114686.07,116266.27,106306.83,110675.77,45.80929
2025-11-03,110719.97,110750.32,99000.0,104904.38,113.37977
2025-11-10,104900.18,107428.72,93000.01,94299.99,85.33056
2025-11-17,94290.56,95948.96,80811.38,86982.78,162.21565
2025-11-24,86983.02,93068.58,85352.71,90589.87,64.78488
2025-12-01,90368.32,94093.38,83876.63,90419.25,74.5294
2025-12-08,90233.88,94629.02,87645.64,88314.15,97.14949
2025-12-15,88310.63,90268.05,84583.57,88656.95,69.22162
2025-12-22,88657.31,90500.0,86499.44,87724.87,51.95776
2025-12-29,87971.99,91766.74,86809.06,91500.0,752.55536
2026-01-05,91524.4,95500.0,89313.46,90982.41,251.92489
2026-01-12,90982.41,97891.41,90229.12,93752.57,133.15836
2026-01-19,93675.57,93675.57,92000.0,92715.71,14.1306
