datetime,open,high,low,close,volume
2025-03-28,2004.11,2015.47,1863.36,1895.89,1034.6878
2025-03-29,1896.95,1912.0,1799.06,1828.47,182.8051
2025-03-30,1827.52,1847.7,1769.96,1804.35,347.97
2025-03-31,1808.69,1850.86,1778.03,1827.07,407.9333
2025-04-01,1821.82,1925.0,1819.54,1905.35,596.968
2025-04-02,1905.25,1952.76,1783.3,1793.43,612.5814
2025-04-03,1794.96,1843.9,1752.56,1819.25,754.3265
2025-04-04,1818.44,1833.7,1761.56,1813.04,760.2571
2025-04-05,1813.71,1826.36,1765.92,1805.4,295.3175
2025-04-06,1805.39,1814.99,1540.52,1577.55,1070.4534
2025-04-07,1577.02,1635.43,1413.76,1554.1,1128.3986
2025-04-08,1551.0,1615.86,1449.58,1472.65,630.794
2025-04-09,1475.18,1685.09,1386.53,1668.6,692.5618
2025-04-10,1666.44,1666.5,1474.19,1522.57,666.0758
2025-04-11,1522.57,1588.45,1507.03,1569.0,367.648
2025-04-12,1563.82,1668.52,1548.16,1645.65,223.7508
2025-04-13,1643.6,1649.54,1562.99,1598.57,188.8889
2025-04-14,1600.35,1690.09,1596.17,1622.17,236.7962
2025-04-15,1626.91,1659.55,1583.81,1587.68,81.8306
2025-04-16,1587.68,1612.65,1541.0,1578.01,234.6426
2025-04-17,1579.48,1615.33,1565.15,1581.83,131.3966
2025-04-18,1579.66,1598.43,1574.82,1589.33,55.0487
2025-04-19,1588.3,1629.89,1585.0,1613.53,47.5088
2025-04-20,1612.05,1619.34,1565.94,1585.7,49.7267
2025-04-21,1588.61,1656.9,1564.12,1580.5,167.8624
2025-04-22,1577.94,1775.71,1540.27,1756.56,372.6549
2025-04-23,1757.3,1833.5,1747.2,1796.25,253.7433
2025-04-24,1795.95,1801.29,1723.48,1768.0,238.7881
2025-04-25,1767.99,1826.0,1741.61,1785.71,244.7429
2025-04-26,1786.35,1839.58,1780.61,1821.14,128.701
2025-04-27,1821.45,1855.69,1784.3,1794.69,214.789
2025-04-28,1791.77,1826.08,1746.32,1798.54,244.1634
2025-04-29,1797.61,1841.11,1781.93,1799.87,242.1404
2025-04-30,1797.99,1815.95,1733.75,1794.32,381.8859
2025-05-01,1795.14,1870.86,1792.52,1838.31,165.3119
2025-05-02,1839.66,1869.52,1812.13,1840.53,136.6768
2025-05-03,1842.39,1848.13,1812.0,1832.99,103.9863
2025-05-04,1834.59,1849.55,1803.79,1808.17,36.342
2025-05-05,1810.99,1831.88,1783.01,1819.05,76.1355
2025-05-06,1820.67,1820.67,1751.68,1815.43,94.2121
2025-05-07,1816.55,1848.69,1789.16,1812.02,155.8236
2025-05-08,1810.7,2223.19,1809.63,2206.67,936.3277
2025-05-09,2200.29,2488.35,2184.3,2346.37,691.8352
2025-05-10,2343.69,2599.28,2322.23,2583.47,432.3163
2025-05-11,2583.99,2604.31,2442.02,2512.17,599.0534
2025-05-12,2515.14,2622.72,2409.98,2489.81,594.0451
2025-05-13,2489.81,2736.98,2416.98,2686.21,359.7329
2025-05-14,2678.01,2723.29,2549.86,2612.63,299.5773
2025-05-15,2611.21,2643.99,2481.43,2546.07,316.7284
2025-05-16,2548.02,2647.3,2530.46,2536.59,210.7897
2025-05-17,2530.78,2534.48,2448.87,2474.9,218.7919
2025-05-18,2473.41,2583.05,2327.6,2496.71,390.2953
2025-05-19,2503.81,2543.51,2350.91,2533.31,183.2245
2025-05-20,2530.47,2588.56,2445.89,2524.65,162.0738
2025-05-21,2522.47,2612.87,2472.95,2549.96,1220.2671
2025-05-22,2548.94,2690.88,2548.94,2664.71,365.1348
2025-05-23,2654.39,2731.72,2504.96,2516.3,431.6383
2025-05-24,2524.03,2574.63,2518.18,2529.03,92.7511
2025-05-25,2534.89,2552.88,2466.35,2552.1,158.8341
2025-05-26,2552.42,2596.87,2528.04,2563.07,138.0708
2025-05-27,2565.05,2708.34,2512.7,2665.1,330.5946
2025-05-28,2660.37,2686.99,2610.0,2680.18,214.4105
2025-05-29,2681.42,2779.0,2617.6,2632.51,571.4894
2025-05-30,2632.65,2649.18,2510.57,2529.21,298.9404
2025-05-31,2528.35,2549.86,2480.0,2529.47,224.8929
2025-06-01,2526.2,2545.96,2470.07,2534.16,162.7549
2025-06-02,2536.21,2613.39,2476.54,2603.78,338.5264
2025-06-03,2606.51,2651.66,2579.27,2589.22,217.4496
2025-06-04,2594.23,2678.04,2585.02,2607.28,108.3062
2025-06-05,2605.07,2640.29,2393.89,2417.83,386.0963
2025-06-06,2413.64,2529.82,2390.0,2479.62,366.841
2025-06-07,2477.18,2542.89,2457.83,2526.29,180.9331
2025-06-08,2525.29,2546.37,2493.17,2508.6,79.2409
2025-06-09,2509.12,2686.6,2478.56,2679.87,260.8114
2025-06-10,2679.74,2825.83,2657.7,2813.87,596.3098
2025-06-11,2811.06,2877.16,2744.93,2770.75,497.6279
2025-06-12,2769.93,2783.24,2619.28,2645.61,536.2038
2025-06-13,2642.16,2646.93,2440.0,2582.03,620.2428
2025-06-14,2574.78,2574.78,2491.0,2532.58,157.7116
2025-06-15,2530.97,2555.47,2491.57,2547.94,203.0409
2025-06-16,2543.04,2676.82,2517.17,2539.0,309.6087
2025-06-17,2536.08,2615.53,2461.02,2516.22,373.6166
2025-06-18,2512.07,2544.81,2469.35,2523.61,352.909
2025-06-19,2524.54,2545.31,2486.21,2521.69,195.2985
2025-06-20,2519.09,2565.57,2378.01,2407.82,450.6572
2025-06-21,2405.44,2447.75,2217.7,2300.0,356.4109
2025-06-22,2297.83,2322.69,2115.0,2225.79,568.5776
2025-06-23,2226.3,2437.05,2190.16,2412.2,502.4669
2025-06-24,2412.05,2478.56,2377.9,2444.68,199.752
2025-06-25,2446.62,2465.72,2391.53,2419.16,134.3257
2025-06-26,2419.54,2515.0,2396.3,2414.91,242.4542
