datetime,open,high,low,close,volume
2025-03-28,15.46,15.57,14.03,14.25,11530.2
2025-03-29,14.3,14.39,13.39,13.52,809.78
2025-03-30,13.55,13.84,13.2,13.32,806.12
2025-03-31,13.42,13.7,13.0,13.55,1594.11
2025-04-01,13.49,14.37,13.49,14.06,2127.12
2025-04-02,14.04,14.33,12.81,12.95,2869.2
2025-04-03,12.97,13.29,12.32,12.9,1348.66
2025-04-04,12.92,13.16,12.37,12.92,1773.23
2025-04-05,12.92,13.03,12.58,12.86,6627.91
2025-04-06,12.8,12.93,11.02,11.24,4429.56
2025-04-07,11.23,11.83,10.12,11.48,6905.54
2025-04-08,11.52,11.86,10.8,10.86,3877.82
2025-04-09,10.86,12.8,10.46,12.67,19224.9
2025-04-10,12.65,12.66,11.7,12.08,2516.84
2025-04-11,12.07,12.88,12.04,12.68,2538.38
2025-04-12,12.66,13.27,12.49,13.16,733.86
2025-04-13,13.14,13.21,12.45,12.63,7533.81
2025-04-14,12.67,13.22,12.59,12.6,1446.87
2025-04-15,12.63,12.8,12.22,12.25,1115.7
2025-04-16,12.21,12.5,11.92,12.35,776.31
2025-04-17,12.37,12.68,12.24,12.52,1615.31
2025-04-18,12.53,12.7,12.43,12.54,937.55
2025-04-19,12.54,13.03,12.53,12.95,621.02
2025-04-20,12.94,13.58,12.9,13.28,2555.36
2025-04-21,13.3,13.68,12.98,13.07,2482.54
2025-04-22,13.09,14.16,12.9,14.12,2858.43
2025-04-23,14.15,15.25,14.03,15.01,4299.23
2025-04-24,15.04,15.12,14.17,15.01,4631.89
2025-04-25,15.01,15.33,14.72,14.92,1844.47
2025-04-26,14.96,15.26,14.7,14.86,1864.53
2025-04-27,14.84,15.08,14.4,14.57,2336.91
2025-04-28,14.55,15.09,14.27,15.02,3280.56
2025-04-29,15.01,15.24,14.51,14.63,8309.77
2025-04-30,14.67,14.74,13.86,14.33,1758.63
2025-05-01,14.35,15.03,14.33,14.75,2238.02
2025-05-02,14.77,15.01,14.51,14.59,2675.72
2025-05-03,14.62,14.65,14.18,14.25,816.52
2025-05-04,14.24,14.35,13.83,13.84,1404.48
2025-05-05,13.87,14.18,13.5,13.66,3534.99
2025-05-06,13.63,13.86,13.21,13.81,1603.68
2025-05-07,13.8,14.06,13.46,13.84,1673.17
2025-05-08,13.84,15.94,13.83,15.87,5106.69
2025-05-09,15.79,16.73,15.6,15.98,5359.88
2025-05-10,16.07,17.43,15.86,17.35,7285.25
2025-05-11,17.32,17.39,16.32,17.08,3720.28
2025-05-12,17.1,17.97,16.08,16.76,11279.34
2025-05-13,16.75,17.8,16.05,17.42,4308.11
2025-05-14,17.4,17.51,16.7,17.01,2472.29
2025-05-15,17.04,17.18,15.72,16.02,5898.82
