datetime,open,high,low,close,volume
2024-02-26,18.692,21.65,18.14,20.492,139947.97
2024-03-04,20.461,22.0,17.685,21.725,153607.18
2024-03-11,21.677,22.735,17.41,18.667,163736.02
2024-03-18,18.646,19.484,16.269,18.498,94592.08
2024-03-25,18.497,20.718,18.384,19.15,64218.87
2024-04-01,19.155,19.255,16.853,17.885,31342.2
2024-04-08,17.885,18.66,11.957,14.188,53454.25
2024-04-15,14.066,15.179,12.739,15.061,48367.57
2024-04-22,15.091,16.027,13.743,13.807,19725.11
2024-04-29,13.794,14.649,12.422,14.362,30032.38
2024-05-06,14.388,15.153,13.307,13.518,28998.66
2024-05-13,13.596,17.099,12.848,16.558,51588.85
2024-05-20,16.607,17.903,15.434,17.058,35681.71
2024-05-27,17.024,19.22,16.592,18.166,32616.0
2024-06-03,18.12,18.791,15.57,16.364,20889.6
2024-06-10,16.376,16.376,14.096,15.109,26587.53
2024-06-17,15.124,15.22,12.581,13.154,50333.92
2024-06-24,13.196,14.775,12.771,14.257,39406.65
2024-07-01,14.24,14.751,11.082,12.359,50834.02
2024-07-08,12.372,13.634,11.792,13.511,49174.88
2024-07-15,13.44,15.025,13.328,14.763,38912.95
2024-07-22,14.815,14.891,12.49,13.283,18950.36
2024-07-29,13.314,13.888,10.529,10.885,20811.42
2024-08-05,10.912,10.968,8.169,10.012,34020.58
2024-08-12,9.981,10.728,9.927,10.08,13847.92
2024-08-19,10.078,12.546,9.965,12.117,12418.84
2024-08-26,12.163,12.652,10.235,10.349,14961.74
2024-09-02,10.334,10.855,9.32,10.34,13434.63
2024-09-09,10.34,11.54,10.19,10.83,12990.52
2024-09-16,10.8,11.71,10.31,11.1,12740.76
2024-09-23,11.08,12.97,10.93,12.49,24168.52
2024-09-30,12.44,12.47,10.34,11.27,15812.59
2024-10-07,11.26,11.7,10.27,10.71,8931.47
2024-10-14,10.75,12.0,9.0,11.97,18952.2
2024-10-21,11.95,12.31,10.66,11.0,20807.9
2024-10-28,10.97,12.45,10.11,10.76,27867.95
2024-11-04,10.7,14.817,10.08,14.27,46378.85
2024-11-11,14.24,15.36,12.62,13.77,72845.17
2024-11-18,13.78,18.38,13.53,17.91,89372.54
2024-11-25,17.92,19.42,15.99,18.89,100665.61
2024-12-02,18.9,27.37,18.51,26.07,170863.92
2024-12-09,26.17,31.0,19.75,29.24,139296.4
2024-12-16,29.29,30.81,20.06,22.1,89067.14
2024-12-23,22.11,25.96,20.8,21.0,46519.76
2024-12-30,20.91,24.05,19.71,23.62,30860.58
2025-01-06,23.6,24.61,19.27,19.84,38207.16
2025-01-13,19.85,26.67,17.89,24.24,68115.23
2025-01-20,24.39,27.18,23.43,24.92,54294.09
2025-01-27,24.88,26.27,19.36,20.48,42193.38
2025-02-03,20.46,21.99,15.61,18.28,37172.55
2025-02-10,18.31,20.45,17.69,18.67,27517.9
2025-02-17,18.73,19.76,17.12,17.64,32375.12
2025-02-24,17.63,17.73,13.47,17.44,37592.36
2025-03-03,17.45,17.64,13.1,13.75,47908.85
2025-03-10,13.78,14.69,11.88,13.36,83133.58
2025-03-17,13.38,15.16,13.36,14.44,23564.18
2025-03-24,14.45,15.97,13.2,13.32,28854.64
2025-03-31,13.42,14.37,11.02,11.24,20769.79
2025-04-07,11.23,13.27,10.12,12.63,43331.15
2025-04-14,12.67,13.58,11.92,13.28,9068.12
2025-04-21,13.3,15.33,12.9,14.57,20318.0
2025-04-28,14.55,15.24,13.83,13.84,20483.7
2025-05-05,13.87,17.43,13.21,17.08,28283.94
2025-05-12,17.1,17.97,14.94,15.87,33993.64
2025-05-19,15.87,17.14,14.86,15.44,27151.3
2025-05-26,15.52,16.16,13.41,14.06,23816.93
2025-06-02,14.04,14.46,12.66,13.71,9833.9
2025-06-09,13.71,15.64,12.8,13.25,23626.66
2025-06-16,13.26,14.12,10.96,11.67,15302.91
2025-06-23,11.66,13.87,11.43,13.73,25352.2
2025-06-30,13.72,14.08,12.75,13.48,81745.02
2025-07-07,13.48,15.94,13.21,15.68,37953.65
2025-07-14,15.69,19.95,15.17,19.29,79135.38
2025-07-21,19.35,22.0,17.17,19.21,54850.95
2025-07-28,19.23,19.52,15.01,16.3,54301.51
2025-08-04,16.31,22.68,16.05,22.12,33556.54
2025-08-11,22.0,26.3,20.87,25.7,65743.51
2025-08-18,25.67,27.86,23.37,25.82,119138.28
2025-08-25,25.83,26.4,22.88,23.17,41346.54
2025-09-01,23.2,23.92,21.9,22.45,35207.25
2025-09-08,22.43,25.7,22.25,24.06,32846.66
2025-09-15,24.06,24.87,22.6,22.94,27160.14
2025-09-22,23.01,23.01,19.86,21.65,79922.4
2025-09-29,21.64,23.12,20.94,22.01,36607.76
2025-10-06,22.0,23.68,16.64,19.02,40697.63
2025-10-13,18.94,20.16,15.74,17.25,43984.08
2025-10-20,17.24,20.16,16.74,18.52,29273.57
2025-10-27,18.6,19.03,16.39,17.59,71941.98
2025-11-03,17.57,17.63,13.83,15.93,59287.73
2025-11-10,15.82,16.78,13.39,13.85,170476.91
2025-11-17,13.74,14.24,11.63,12.5,128370.77
2025-11-24,12.49,13.53,12.35,12.95,35421.38
2025-12-01,13.0,14.92,11.81,13.53,21047.59
2025-12-08,13.63,14.99,13.1,13.28,9208.75
2025-12-15,13.3,13.72,11.78,12.44,10290.24
2025-12-22,12.47,13.53,12.0,12.36,8891.54
2025-12-29,12.48,13.58,12.17,13.42,11383.08
2026-01-05,13.44,14.24,13.05,13.2,10562.13
2026-01-12,13.2,14.39,12.99,13.34,68535.69
2026-01-19,13.31,13.31,12.58,12.75,2480.62
