datetime,open,high,low,close,volume
2026-01-19 00:00:00,137.82,138.0,130.12,133.17,1325.778
2026-01-19 00:15:00,133.17,134.45,132.62,134.34,573.145
2026-01-19 00:30:00,133.98,134.51,133.35,134.35,1304.442
2026-01-19 00:45:00,134.08,134.36,133.58,133.82,756.373
2026-01-19 01:00:00,133.61,134.43,133.61,134.04,197.297
2026-01-19 01:15:00,134.04,134.21,133.75,133.81,35.707
2026-01-19 01:30:00,133.99,134.15,133.83,133.83,0.678
2026-01-19 01:45:00,133.59,133.74,133.59,133.74,25.593
2026-01-19 02:00:00,133.53,133.93,133.44,133.73,15.612
2026-01-19 02:15:00,133.9,133.96,133.82,133.86,0.925
2026-01-19 02:30:00,133.84,133.99,133.72,133.99,1.306
2026-01-19 02:45:00,133.81,133.96,133.8,133.82,2.148
2026-01-19 03:00:00,133.79,134.04,133.79,133.99,2.098
2026-01-19 03:15:00,134.12,134.12,133.86,133.86,39.074
2026-01-19 03:30:00,133.82,133.93,133.78,133.85,3.181
2026-01-19 03:45:00,133.84,134.0,133.8,134.0,62.702
2026-01-19 04:00:00,133.75,133.98,133.68,133.91,0.754
2026-01-19 04:15:00,133.76,133.82,133.61,133.78,35.011
2026-01-19 04:30:00,133.76,133.94,133.72,133.79,2.77
2026-01-19 04:45:00,133.63,133.83,133.63,133.83,11.173
2026-01-19 05:00:00,133.74,133.78,133.63,133.63,14.222
2026-01-19 05:15:00,133.49,133.58,133.49,133.58,3.869
2026-01-19 05:30:00,133.62,133.98,133.51,133.51,360.861
2026-01-19 05:45:00,133.5,133.51,133.42,133.44,163.712
2026-01-19 06:00:00,133.33,133.44,133.19,133.44,21.171
2026-01-19 06:15:00,133.05,133.18,132.92,133.02,0.84
2026-01-19 06:30:00,132.87,132.96,132.87,132.96,2.772
2026-01-19 06:45:00,133.23,133.23,133.23,133.23,0.454
2026-01-19 07:00:00,133.34,133.39,133.18,133.39,292.805
2026-01-19 07:15:00,133.42,133.52,133.35,133.45,3.352
2026-01-19 07:30:00,133.43,133.5,133.41,133.43,30.994
2026-01-19 07:45:00,133.4,133.53,133.36,133.53,11.228
2026-01-19 08:00:00,133.35,133.53,133.35,133.53,0.277
2026-01-19 08:15:00,133.67,134.03,133.67,133.99,159.699
2026-01-19 08:30:00,133.81,133.81,133.67,133.74,132.898
2026-01-19 08:45:00,133.93,133.93,133.93,133.93,0.16
2026-01-19 09:00:00,133.81,133.81,133.67,133.67,3.933
2026-01-19 09:15:00,133.87,133.87,133.87,133.87,5.279
2026-01-19 09:30:00,133.97,133.97,133.72,133.72,22.707
2026-01-19 09:45:00,133.78,133.78,133.77,133.77,8.226
2026-01-19 10:00:00,133.62,133.62,133.53,133.53,7.429
2026-01-19 10:15:00,133.85,133.86,133.85,133.86,14.388
2026-01-19 10:30:00,133.77,133.77,133.77,133.77,0.012
2026-01-19 10:45:00,133.71,133.71,133.71,133.71,0.373
2026-01-19 11:00:00,133.7,133.7,133.7,133.7,1.502
2026-01-19 11:15:00,133.83,134.06,133.83,134.06,81.181
2026-01-19 11:30:00,134.11,134.14,134.11,134.13,32.957
2026-01-19 11:45:00,134.29,134.29,134.2,134.24,26.506
