datetime,open,high,low,close,volume
2026-01-21 17:00:00,125.65,126.94,125.47,126.88,184.195
2026-01-21 18:00:00,126.7,127.77,126.66,127.77,34.421
2026-01-21 19:00:00,127.65,131.53,127.36,131.52,150.598
2026-01-21 20:00:00,131.52,131.52,130.12,131.16,306.791
2026-01-21 21:00:00,131.0,132.09,130.95,131.21,159.123
2026-01-21 22:00:00,131.5,131.82,130.57,130.81,45.398
2026-01-21 23:00:00,130.71,130.95,129.24,129.39,54.636
2026-01-22 00:00:00,129.83,130.36,129.83,130.2,250.02
2026-01-22 01:00:00,130.24,130.5,129.89,130.27,80.993
2026-01-22 02:00:00,130.39,130.58,129.73,129.73,146.237
2026-01-22 03:00:00,129.9,130.33,129.72,129.86,15.122
2026-01-22 04:00:00,130.18,130.49,130.18,130.49,39.85
2026-01-22 05:00:00,130.46,130.49,130.12,130.22,27.62
2026-01-22 06:00:00,130.32,130.33,129.7,130.33,12.225
2026-01-22 07:00:00,130.34,130.34,130.0,130.08,16.902
2026-01-22 08:00:00,129.93,130.09,129.6,129.64,10.391
2026-01-22 09:00:00,129.76,129.96,129.76,129.96,6.14
2026-01-22 10:00:00,130.28,130.34,130.16,130.16,11.335
2026-01-22 11:00:00,130.23,130.23,129.93,129.93,0.671
2026-01-22 12:00:00,130.25,130.43,130.1,130.1,23.254
2026-01-22 13:00:00,130.09,130.89,129.12,129.24,22.819
2026-01-22 14:00:00,129.33,129.68,127.87,127.87,64.585
2026-01-22 15:00:00,127.85,128.47,126.83,127.41,510.534
2026-01-22 16:00:00,127.87,128.26,127.01,127.85,23.188
2026-01-22 17:00:00,128.05,128.73,127.68,128.63,129.829
2026-01-22 18:00:00,128.32,128.79,127.72,127.72,80.846
2026-01-22 19:00:00,127.78,129.34,127.78,129.27,127.109
2026-01-22 20:00:00,129.33,129.79,128.44,128.53,40.94
2026-01-22 21:00:00,128.53,128.88,128.43,128.59,49.867
2026-01-22 22:00:00,128.18,128.58,128.07,128.58,33.226
2026-01-22 23:00:00,128.41,128.57,128.21,128.39,21.051
2026-01-23 00:00:00,128.49,128.53,128.33,128.41,45.81
2026-01-23 01:00:00,128.59,128.88,128.37,128.88,29.37
2026-01-23 02:00:00,128.95,128.95,128.2,128.29,21.298
2026-01-23 03:00:00,128.18,128.8,128.18,128.77,97.548
2026-01-23 04:00:00,128.76,129.28,128.55,129.22,81.098
2026-01-23 05:00:00,129.09,129.09,128.44,128.51,94.155
2026-01-23 06:00:00,128.72,128.96,127.22,127.22,58.825
2026-01-23 07:00:00,127.59,128.13,127.59,127.92,66.603
2026-01-23 08:00:00,127.86,127.86,127.02,127.24,12.874
2026-01-23 09:00:00,127.33,127.33,127.11,127.11,5.934
2026-01-23 10:00:00,127.15,127.34,127.15,127.31,4.937
2026-01-23 11:00:00,127.66,127.77,127.6,127.62,12.925
2026-01-23 12:00:00,127.51,127.51,127.33,127.38,5.934
2026-01-23 13:00:00,127.2,127.38,126.76,126.76,87.657
2026-01-23 14:00:00,126.92,127.18,125.47,125.93,162.624
2026-01-23 15:00:00,126.17,128.08,125.72,127.64,176.809
2026-01-23 16:00:00,127.92,129.16,127.77,128.44,94.28
2026-01-23 17:00:00,128.18,130.13,128.02,128.57,132.127
2026-01-23 18:00:00,128.44,129.47,128.32,129.08,18.445
2026-01-23 19:00:00,128.57,129.12,127.87,127.99,43.257
2026-01-23 20:00:00,127.93,128.18,126.61,126.61,104.406
2026-01-23 21:00:00,127.1,127.49,127.1,127.23,349.751
2026-01-23 22:00:00,127.13,127.81,127.13,127.59,107.39
2026-01-23 23:00:00,127.36,127.52,127.36,127.41,14.519
2026-01-24 00:00:00,127.43,127.54,127.35,127.46,35.695
2026-01-24 01:00:00,127.47,127.58,127.47,127.52,12.601
2026-01-24 02:00:00,127.61,127.66,127.5,127.66,27.198
2026-01-24 03:00:00,127.74,128.08,127.74,127.95,30.638
2026-01-24 04:00:00,128.03,128.06,127.73,127.88,36.843
2026-01-24 05:00:00,127.85,127.87,127.67,127.78,20.282
2026-01-24 06:00:00,127.76,127.76,127.64,127.68,3.274
2026-01-24 07:00:00,127.63,127.69,127.09,127.22,46.09
2026-01-24 08:00:00,127.16,127.36,127.02,127.36,7.437
2026-01-24 09:00:00,127.25,127.25,127.12,127.15,2.281
2026-01-24 10:00:00,127.21,127.21,127.2,127.2,0.97
2026-01-24 11:00:00,127.24,127.29,127.24,127.26,8.089
2026-01-24 12:00:00,127.2,127.33,127.2,127.33,7.93
2026-01-24 13:00:00,127.24,127.24,127.19,127.19,0.534
2026-01-24 14:00:00,126.98,127.27,126.98,127.19,29.988
2026-01-24 15:00:00,127.2,127.38,126.86,126.88,113.49
2026-01-24 16:00:00,126.86,126.96,126.72,126.86,12.388
2026-01-24 17:00:00,127.06,127.26,126.95,127.22,44.239
2026-01-24 18:00:00,127.28,127.44,127.22,127.44,14.89
2026-01-24 19:00:00,127.5,127.5,127.29,127.32,37.27
2026-01-24 20:00:00,127.39,127.45,127.27,127.27,34.078
2026-01-24 21:00:00,127.29,127.33,127.1,127.1,15.41
2026-01-24 22:00:00,127.13,127.65,127.13,127.58,51.413
2026-01-24 23:00:00,127.77,127.77,127.15,127.21,78.187
2026-01-25 00:00:00,127.43,127.49,126.92,127.18,24.408
2026-01-25 01:00:00,127.44,127.44,127.08,127.08,5.09
2026-01-25 02:00:00,127.16,127.29,127.02,127.07,35.245
2026-01-25 03:00:00,127.1,127.1,126.37,126.56,20.197
2026-01-25 04:00:00,126.86,126.86,126.56,126.67,4.19
2026-01-25 05:00:00,126.82,126.91,126.67,126.86,6.231
2026-01-25 06:00:00,126.62,126.69,126.62,126.66,4.036
2026-01-25 07:00:00,126.73,126.73,126.54,126.57,4.441
2026-01-25 08:00:00,126.58,126.79,126.03,126.33,31.312
2026-01-25 09:00:00,126.25,126.74,126.25,126.74,37.081
2026-01-25 10:00:00,126.7,127.11,126.7,127.0,19.715
2026-01-25 11:00:00,126.71,126.71,126.71,126.71,2.763
2026-01-25 12:00:00,126.83,127.01,126.72,127.01,8.813
2026-01-25 13:00:00,126.87,126.87,126.54,126.54,0.646
2026-01-25 14:00:00,126.99,126.99,125.65,126.12,127.846
2026-01-25 15:00:00,126.0,126.17,125.5,125.55,84.838
2026-01-25 16:00:00,125.47,125.47,122.22,122.97,1667.078
2026-01-25 17:00:00,122.94,122.94,121.66,122.25,223.486
2026-01-25 18:00:00,122.15,122.18,120.82,121.44,140.813
2026-01-25 19:00:00,121.46,121.83,117.25,117.85,1731.446
