datetime,open,high,low,close,volume
2024-02-26,103.48,139.5,100.36,130.38,182092.58
2024-03-04,130.13,152.59,119.2,143.76,196172.45
2024-03-11,143.95,203.0,137.69,201.64,256230.43
2024-03-18,201.38,209.92,163.75,183.3,163227.29
2024-03-25,183.3,203.01,180.12,202.66,88486.68
2024-04-01,202.36,204.71,167.22,179.76,71941.84
2024-04-08,179.76,184.62,125.0,151.48,107768.31
2024-04-15,151.46,155.81,126.52,148.5,99595.89
2024-04-22,148.79,159.84,134.27,137.78,69151.2
2024-04-29,137.67,148.44,119.05,145.9,68868.107
2024-05-06,145.93,159.11,140.54,143.87,62713.03
2024-05-13,143.75,175.75,138.52,170.14,74488.22
2024-05-20,169.99,188.71,161.58,163.84,65260.454
2024-05-27,163.64,173.48,161.92,163.75,31412.179
2024-06-03,163.75,175.16,156.65,162.06,37324.654
2024-06-10,162.16,163.1,139.66,151.22,41666.04
2024-06-17,151.25,151.65,128.29,128.63,30262.354
2024-06-24,128.64,151.07,122.64,146.64,44755.972
2024-07-01,146.69,154.74,121.42,131.37,59450.323
2024-07-08,131.37,148.5,127.92,147.66,47820.978
2024-07-15,147.7,184.5,147.17,183.86,50735.281
2024-07-22,183.86,188.0,165.55,184.89,51730.311
2024-07-29,184.89,193.83,132.3,138.25,76049.752
2024-08-05,138.12,163.33,110.1,141.89,114433.727
2024-08-12,141.72,152.06,136.19,142.62,44259.44
2024-08-19,142.38,162.27,138.96,159.08,42776.974
2024-08-26,158.9,161.83,127.73,128.63,36985.035
2024-09-02,128.44,137.27,121.63,129.86,40750.733
2024-09-09,129.81,139.7,127.07,131.5,32343.239
2024-09-16,131.4,152.29,127.13,144.71,45165.853
2024-09-23,144.5,161.7,142.25,158.39,44535.646
2024-09-30,158.36,159.48,133.78,146.52,32903.568
2024-10-07,146.48,152.12,135.65,147.55,21564.678
2024-10-14,147.55,167.3,146.91,166.97,29786.458
2024-10-21,166.97,179.09,159.83,176.49,38375.031
2024-10-28,176.46,183.0,158.02,162.39,32956.757
2024-11-04,162.2,214.86,155.26,210.51,68799.117
2024-11-11,209.56,241.78,201.0,237.37,88798.29
2024-11-18,237.57,264.0,230.06,252.8,68952.862
2024-11-25,252.53,256.18,222.22,236.8,41183.557
2024-12-02,236.69,245.0,215.31,236.98,68606.037
2024-12-09,236.88,237.13,204.0,223.48,45218.359
2024-12-16,224.03,228.81,175.55,180.62,51706.762
2024-12-23,180.12,201.69,176.74,189.92,49019.128
