datetime,open,high,low,close,volume
2023-04-29,23.38,23.98,21.54,22.24,58618.61
2023-05-03,22.28,23.23,21.25,21.92,72900.52
2023-05-07,21.91,22.76,19.98,20.91,81406.24
2023-05-11,20.91,21.28,19.76,20.92,27009.29
2023-05-15,20.9,21.51,20.13,20.34,30844.15
2023-05-19,20.33,20.58,19.3,19.51,29269.48
2023-05-23,19.51,20.17,18.72,19.37,20196.95
2023-05-27,19.38,21.39,19.34,21.27,47493.590000000004
2023-05-31,21.2,21.36,20.32,21.19,18857.32
2023-06-04,21.19,22.3,18.31,18.47,105637.76
2023-06-08,18.49,19.31,12.02,15.48,94527.89
2023-06-12,15.44,15.85,14.02,14.76,91323.34
2023-06-16,14.81,16.12,14.39,16.06,37650.62
2023-06-20,16.08,17.72,15.72,17.11,102444.95999999999
2023-06-24,17.07,17.49,15.94,16.6,52728.88
2023-06-28,16.62,19.75,15.72,18.7,108247.51
2023-07-02,18.67,19.85,18.47,18.99,53009.090000000004
2023-07-06,18.98,22.45,18.87,21.38,118461.4
2023-07-10,21.4,26.75,20.55,25.92,111385.97
2023-07-14,25.88,29.89,25.29,26.85,122398.1
2023-07-18,26.82,27.35,24.71,25.52,68121.48
2023-07-22,25.52,25.94,22.93,23.22,42739.6
2023-07-26,23.25,25.7,23.22,25.17,60565.49
2023-07-30,25.23,25.23,22.89,23.15,48007.31
2023-08-03,23.16,23.53,22.21,23.21,36961.979999999996
2023-08-07,23.21,24.97,22.38,24.61,37516.54
2023-08-11,24.65,25.27,24.1,25.19,31182.22
2023-08-15,25.19,25.27,20.51,21.3,70732.9
2023-08-19,21.39,22.15,19.46,20.59,23461.35
2023-08-23,20.56,21.98,20.13,20.28,28122.08
2023-08-27,20.28,22.02,20.06,20.84,21546.55
2023-08-31,20.75,21.04,19.04,19.6,19267.96
2023-09-04,19.59,20.57,19.06,19.9,32674.58
2023-09-08,19.86,20.26,17.37,17.73,41037.21
2023-09-12,17.72,19.48,17.59,19.15,28348.65
2023-09-16,19.16,20.36,18.56,20.01,38915.53
2023-09-20,20.08,20.5,19.13,19.44,19557.600000000002
2023-09-24,19.48,19.71,18.75,19.08,19673.86
2023-09-28,19.08,24.29,19.08,23.81,62662.399999999994
2023-10-02,23.88,24.69,22.58,22.68,57212.39
2023-10-06,22.72,24.01,21.8,22.13,24181.53
2023-10-10,22.13,22.46,21.03,21.78,24208.43
2023-10-14,21.78,24.57,21.57,23.89,47985.46
2023-10-18,23.87,30.04,23.22,29.35,96106.63
2023-10-22,29.28,33.79,28.04,32.49,133757.84999999998
2023-10-26,32.47,33.22,30.77,32.78,64635.520000000004
2023-10-30,32.82,46.6,32.31,40.21,195465.17
2023-11-03,40.23,42.87,38.03,42.09,96173.67
2023-11-07,42.08,57.45,40.12,56.6,167136.59
2023-11-11,56.6,63.0,51.5,56.64,196303.57
2023-11-15,56.64,68.0,54.84,58.52,139965.81
2023-11-19,58.52,61.88,51.56,57.48,89007.70000000001
2023-11-23,57.58,59.78,56.17,57.57,40519.01
2023-11-27,57.55,61.5,53.92,59.25,62631.84
2023-12-01,59.26,65.2,58.67,61.63,80210.92
2023-12-05,61.65,75.0,59.25,74.84,156839.90000000002
2023-12-09,74.85,77.38,66.5,68.6,104513.82
2023-12-13,68.59,79.39,65.0,73.77,102797.36
2023-12-17,73.75,84.0,67.41,81.97,109436.73000000001
2023-12-21,82.05,118.0,81.31,112.91,201475.94
2023-12-25,112.55,125.81,97.03,101.91,168342.39
2023-12-29,101.86,109.69,99.61,109.08,54412.68
2024-01-02,109.05,116.96,95.46,99.88,86658.2
2024-01-06,99.99,104.86,85.07,99.38,81905.02
2024-01-10,99.34,106.73,88.41,95.95,92554.01000000001
2024-01-14,96.01,102.89,93.55,102.02,61871.17
2024-01-18,102.08,103.0,88.0,91.74,59112.48
