datetime,open,high,low,close,volume
2026-01-19 00:00:00,1.993,2.003,1.9278,1.9278,49860.6
2026-01-19 00:15:00,1.9281,1.9487,1.9224,1.9304,5047.0
2026-01-19 00:30:00,1.9354,1.9589,1.9304,1.9589,1857.9
2026-01-19 00:45:00,1.9589,1.9642,1.95,1.95,110785.9
2026-01-19 01:00:00,1.95,1.9666,1.95,1.9666,11104.5
2026-01-19 01:15:00,1.9608,1.9665,1.9523,1.9523,414.5
2026-01-19 01:30:00,1.9597,1.9668,1.9597,1.96,7495.3
2026-01-19 01:45:00,1.96,1.9652,1.9528,1.9603,46351.3
2026-01-19 02:00:00,1.96,1.9668,1.96,1.9631,46621.1
2026-01-19 02:15:00,1.9625,1.9645,1.96,1.9601,6041.0
2026-01-19 02:30:00,1.9601,1.9612,1.96,1.9601,21877.2
2026-01-19 02:45:00,1.964,1.964,1.964,1.964,25.4
2026-01-19 03:00:00,1.96,1.9625,1.96,1.96,10085.7
2026-01-19 03:15:00,1.9645,1.9645,1.9568,1.9615,1535.7
2026-01-19 03:30:00,1.9589,1.9624,1.9589,1.9624,7406.5
2026-01-19 03:45:00,1.9626,1.9677,1.9626,1.9677,4139.2
2026-01-19 04:00:00,1.9674,1.9742,1.9674,1.9717,227.7
2026-01-19 04:15:00,1.973,1.9731,1.9674,1.9682,183.0
2026-01-19 04:30:00,1.9674,1.9691,1.9674,1.968,485.8
2026-01-19 04:45:00,1.9674,1.9683,1.9642,1.9683,170.7
2026-01-19 05:00:00,1.9685,1.9685,1.9624,1.9683,1486.5
2026-01-19 05:15:00,1.9655,1.9655,1.9607,1.9615,98.6
2026-01-19 05:30:00,1.9675,1.9678,1.9619,1.9655,3144.3
2026-01-19 05:45:00,1.9699,1.9699,1.9699,1.9699,15.2
2026-01-19 06:00:00,1.9646,1.9662,1.9624,1.9638,61.7
2026-01-19 06:15:00,1.9615,1.9631,1.96,1.9622,4328.5
2026-01-19 06:30:00,1.9648,1.9692,1.9559,1.956,7172.6
2026-01-19 06:45:00,1.956,1.956,1.956,1.956,0.0
2026-01-19 07:00:00,1.956,1.956,1.956,1.956,0.0
2026-01-19 07:15:00,1.9553,1.9571,1.9553,1.9571,75.8
2026-01-19 07:30:00,1.956,1.9588,1.956,1.9588,23.7
2026-01-19 07:45:00,1.9619,1.9619,1.9619,1.9619,30.8
2026-01-19 08:00:00,1.9649,1.9674,1.9649,1.9674,686.6
2026-01-19 08:15:00,1.9674,1.9837,1.9674,1.9837,256.1
2026-01-19 08:30:00,1.9748,1.9748,1.9741,1.9741,6.0
2026-01-19 08:45:00,1.9741,1.9741,1.9741,1.9741,0.0
2026-01-19 09:00:00,1.9811,1.9811,1.9792,1.9792,78.4
2026-01-19 09:15:00,1.9752,1.9752,1.9752,1.9752,289.8
2026-01-19 09:30:00,1.9752,1.9752,1.9752,1.9752,0.0
2026-01-19 09:45:00,1.9777,1.9818,1.9777,1.9818,32.3
2026-01-19 10:00:00,1.9803,1.9803,1.978,1.978,473.8
2026-01-19 10:15:00,1.9798,1.9798,1.9798,1.9798,100.9
2026-01-19 10:30:00,1.9761,1.9764,1.9761,1.9764,50.4
2026-01-19 10:45:00,1.9781,1.9811,1.9781,1.9811,52.9
