Setup,Config,Asset,Class,Date,Type,PnL %
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-06 16:30:00,CLS_SHORT,0.85
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-13 15:30:00,CLS_SHORT,0.85
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-11-21 16:30:00,CLS_LONG,2.75
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2025-12-15 14:30:00,CLS_SHORT,0.7
Daily -> 1H,A (Baseline: 2.0x/10),^NDX,TradFi,2026-01-02 15:30:00,CLS_SHORT,-1.61
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-06 16:30:00,CLS_SHORT,0.85
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-13 15:30:00,CLS_SHORT,0.85
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-11-21 16:30:00,CLS_LONG,2.75
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2025-12-15 14:30:00,CLS_SHORT,0.7
Daily -> 1H,B (Sensitive: 1.5x/10),^NDX,TradFi,2026-01-02 15:30:00,CLS_SHORT,-1.61
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-12 15:00:00,CLS_LONG,-1.99
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-11-26 01:00:00,CLS_LONG,1.04
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-12 15:00:00,CLS_SHORT,-1.57
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-18 19:00:00,CLS_SHORT,-1.2
Daily -> 1H,A (Baseline: 2.0x/10),GC=F,TradFi,2025-12-29 15:00:00,CLS_SHORT,-4.59
Daily -> 1H,B (Sensitive: 1.5x/10),GC=F,TradFi,2025-11-12 15:00:00,CLS_LONG,-1.99
Daily -> 1H,B (Sensitive: 1.5x/10),GC=F,TradFi,2025-11-26 01:00:00,CLS_LONG,1.04
Daily -> 1H,B (Sensitive: 1.5x/10),GC=F,TradFi,2025-12-12 15:00:00,CLS_SHORT,-1.57
Daily -> 1H,B (Sensitive: 1.5x/10),GC=F,TradFi,2025-12-18 19:00:00,CLS_SHORT,-1.2
Daily -> 1H,B (Sensitive: 1.5x/10),GC=F,TradFi,2025-12-29 15:00:00,CLS_SHORT,-4.59
Daily -> 1H,C (Refined: 1.5x/10/1.2v),GC=F,TradFi,2025-11-12 15:00:00,CLS_LONG,-1.99
Daily -> 1H,C (Refined: 1.5x/10/1.2v),GC=F,TradFi,2025-11-26 01:00:00,CLS_LONG,1.04
Daily -> 1H,C (Refined: 1.5x/10/1.2v),GC=F,TradFi,2025-12-12 15:00:00,CLS_SHORT,-1.57
Daily -> 1H,C (Refined: 1.5x/10/1.2v),GC=F,TradFi,2025-12-18 19:00:00,CLS_SHORT,-1.2
Daily -> 1H,C (Refined: 1.5x/10/1.2v),GC=F,TradFi,2025-12-29 15:00:00,CLS_SHORT,-4.59
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-10 07:00:00,CLS_LONG,5.56
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-12 20:00:00,CLS_SHORT,-0.68
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-13 14:00:00,CLS_SHORT,4.5
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-17 20:00:00,CLS_LONG,-1.28
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-18 08:00:00,CLS_LONG,1.36
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-21 16:00:00,CLS_LONG,1.14
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-11-27 02:00:00,CLS_SHORT,-1.14
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2025-12-31 20:00:00,CLS_LONG,9.71
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2026-01-07 04:00:00,CLS_SHORT,2.98
Daily -> 1H,A (Baseline: 2.0x/10),SI=F,TradFi,2026-01-09 17:00:00,CLS_SHORT,-1.39
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-10 07:00:00,CLS_LONG,5.56
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-12 20:00:00,CLS_SHORT,-0.68
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-13 14:00:00,CLS_SHORT,4.5
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-17 20:00:00,CLS_LONG,-1.28
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-18 08:00:00,CLS_LONG,1.36
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-21 16:00:00,CLS_LONG,1.14
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-11-27 02:00:00,CLS_SHORT,-1.14
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2025-12-31 20:00:00,CLS_LONG,9.71
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2026-01-07 04:00:00,CLS_SHORT,2.98
Daily -> 1H,B (Sensitive: 1.5x/10),SI=F,TradFi,2026-01-09 17:00:00,CLS_SHORT,-1.39
Daily -> 1H,C (Refined: 1.5x/10/1.2v),SI=F,TradFi,2025-12-31 20:00:00,CLS_LONG,9.71
Daily -> 1H,C (Refined: 1.5x/10/1.2v),SI=F,TradFi,2026-01-07 04:00:00,CLS_SHORT,2.98
Daily -> 1H,C (Refined: 1.5x/10/1.2v),SI=F,TradFi,2026-01-09 17:00:00,CLS_SHORT,-1.39
