Config,Asset,Timeframe,PnL
Standard (Fast),BTC/USDT,4h,-0.05249471398555863
Standard (Fast),BTC/USDT,4h,-0.034755345753868565
Standard (Fast),BTC/USDT,4h,-0.015313769521658475
Standard (Fast),BTC/USDT,4h,-0.026110259494438022
Standard (Fast),BTC/USDT,4h,-0.001
Standard (Fast),BTC/USDT,1d,0.4268316883068224
Standard (Fast),BTC/USDT,1d,-0.06052737719091607
Standard (Fast),BTC/USDT,1d,0.041688040907130165
Standard (Fast),BTC/USDT,1d,-0.07605716036772213
Standard (Fast),BTC/USDT,1d,0.1381084762479905
Standard (Fast),ETH/USDT,4h,-0.027295487746827933
Standard (Fast),ETH/USDT,4h,0.0009180917515312895
Standard (Fast),ETH/USDT,1d,0.1407684652836313
Standard (Fast),ETH/USDT,1d,-0.0833918660066029
Standard (Fast),ETH/USDT,1d,0.6722306575319188
Standard (Fast),ETH/USDT,1d,-0.17589972940308257
Standard (Fast),ETH/USDT,1d,0.18024176949714674
Standard (Fast),SOL/USDT,4h,-0.04716206317717085
Standard (Fast),SOL/USDT,4h,0.014366614664586465
Standard (Fast),SOL/USDT,4h,-0.032459388789017884
Standard (Fast),SOL/USDT,4h,-0.00611427201534282
Standard (Fast),SOL/USDT,4h,-0.007351274326194945
Standard (Fast),SOL/USDT,4h,-0.001
Standard (Fast),SOL/USDT,1d,-0.012831726555653029
Standard (Fast),SOL/USDT,1d,-0.12054076487471878
Standard (Fast),SOL/USDT,1d,-0.1309299982926414
Standard (Fast),SOL/USDT,1d,-0.06552386663468453
Standard (Fast),SOL/USDT,1d,-0.09341694393405181
Standard (Fast),SOL/USDT,1d,-0.03178489738367544
Standard (Fast),LINK/USDT,4h,-0.030965156794425068
Standard (Fast),LINK/USDT,4h,-0.009921330089213254
Standard (Fast),LINK/USDT,4h,-0.012475409836065623
Standard (Fast),LINK/USDT,4h,-0.001
Standard (Fast),LINK/USDT,1d,-0.13246734520780315
Standard (Fast),LINK/USDT,1d,-0.19151383399209487
Standard (Fast),LINK/USDT,1d,0.0256272189349112
Standard (Fast),LINK/USDT,1d,-0.17181850533807827
Standard (Fast),LINK/USDT,1d,0.004939753924480296
Standard (Fast),LINK/USDT,1d,0.1574385763490242
Standard (Fast),DOGE/USDT,4h,0.06045614922999046
Standard (Fast),DOGE/USDT,4h,-0.002336057843445485
Standard (Fast),DOGE/USDT,4h,-0.001
Standard (Fast),DOGE/USDT,1d,2.140810653714467
Standard (Fast),DOGE/USDT,1d,-0.13744567440741182
Standard (Fast),DOGE/USDT,1d,-0.01870200269200967
Crypto Optimized (Medium),BTC/USDT,4h,-0.042212006151648294
Crypto Optimized (Medium),BTC/USDT,4h,-0.040959568844655556
Crypto Optimized (Medium),BTC/USDT,4h,-0.026110259494438022
Crypto Optimized (Medium),BTC/USDT,4h,-0.001
Crypto Optimized (Medium),BTC/USDT,1d,0.41226224103285697
Crypto Optimized (Medium),BTC/USDT,1d,-0.061411011393643834
Crypto Optimized (Medium),BTC/USDT,1d,-0.044483170306704914
Crypto Optimized (Medium),BTC/USDT,1d,-0.021711532839527148
Crypto Optimized (Medium),BTC/USDT,1d,0.041688040907130165
Crypto Optimized (Medium),BTC/USDT,1d,-0.08295240114026516
Crypto Optimized (Medium),BTC/USDT,1d,0.18234762063230425
Crypto Optimized (Medium),ETH/USDT,4h,-0.027295487746827933
Crypto Optimized (Medium),ETH/USDT,4h,0.0016882624874671914
