Asset,Type,Timeframe,Signal,Entry Time,PnL,Exit Reason
SI=F,trad,4h,LONG,2025-11-26 16:00:00,0.3210103032686189,Kijun SL
EURUSD=X,trad,4h,SHORT,2025-11-19 20:00:00,-0.004939830669700788,Kijun SL
EURUSD=X,trad,4h,LONG,2025-11-28 12:00:00,0.007547998438930102,Kijun SL
EURUSD=X,trad,1d,LONG,2025-08-28 23:00:00,-0.005245651406548252,Kijun SL
EURUSD=X,trad,1d,LONG,2025-12-16 00:00:00,-0.001,Open
GBPUSD=X,trad,4h,SHORT,2025-10-24 08:00:00,0.008750636980336929,Kijun SL
GBPUSD=X,trad,4h,SHORT,2025-11-19 16:00:00,-0.01105341932769523,Kijun SL
GBPUSD=X,trad,4h,LONG,2025-11-26 12:00:00,0.006207020450175146,Kijun SL
GBPUSD=X,trad,1d,LONG,2025-09-14 23:00:00,-0.00754385216523243,Kijun SL
GC=F,trad,4h,SHORT,2025-10-24 08:00:00,0.014065302044644738,Kijun SL
GC=F,trad,4h,LONG,2025-11-27 04:00:00,0.037348410082919205,Kijun SL
AUDUSD=X,trad,4h,SHORT,2025-11-04 08:00:00,-0.007278584718983285,Kijun SL
AUDUSD=X,trad,4h,LONG,2025-11-13 00:00:00,-0.00835813162952604,Kijun SL
AUDUSD=X,trad,4h,SHORT,2025-11-18 16:00:00,0.0012762946597326273,Kijun SL
AUDUSD=X,trad,4h,LONG,2025-11-27 16:00:00,0.013714682489930245,Kijun SL
AUDUSD=X,trad,4h,LONG,2025-12-23 08:00:00,-0.001,Open
AUDUSD=X,trad,1d,LONG,2025-09-17 23:00:00,-0.018314776528541906,Kijun SL
AUDUSD=X,trad,1d,LONG,2025-12-19 00:00:00,-0.001,Open
^NDX,trad,4h,LONG,2025-12-03 12:00:00,-0.027873994309778417,Kijun SL
^NDX,trad,4h,LONG,2025-12-29 20:00:00,-0.014142517487792841,Kijun SL
^NDX,trad,1d,LONG,2025-12-22 05:00:00,-0.001,Open
^GSPC,trad,4h,LONG,2025-12-03 12:00:00,-0.001,Open
^GSPC,trad,4h,LONG,2025-12-29 20:00:00,-0.001,Open
^GSPC,trad,1d,LONG,2025-12-22 05:00:00,-0.001,Open
DX-Y.NYB,trad,4h,LONG,2025-11-19 16:00:00,-0.00662712394927201,Kijun SL
DX-Y.NYB,trad,4h,SHORT,2025-12-01 08:00:00,0.005288299491248131,Kijun SL
