Asset,Type,Timeframe,Signal,Entry Time,Exit Time,PnL,Reason
SI=F,trad,4h,LONG,2025-11-26 16:00:00,2025-12-29 12:00:00,0.3210103032686189,Kijun Cross
SI=F,trad,1d,SHORT,2024-07-31 04:00:00,2024-08-20 04:00:00,-0.024524916555982264,Kijun Cross
SI=F,trad,1d,LONG,2024-09-13 04:00:00,2024-11-11 05:00:00,-0.006179272694942199,Kijun Cross
SI=F,trad,1d,LONG,2025-01-30 05:00:00,2025-02-28 05:00:00,-0.036378772913054976,Kijun Cross
EURUSD=X,trad,4h,SHORT,2025-11-19 20:00:00,2025-11-25 16:00:00,-0.004939830669700788,Kijun Cross
EURUSD=X,trad,4h,LONG,2025-11-28 12:00:00,2025-12-19 04:00:00,0.007547998438930102,Kijun Cross
EURUSD=X,trad,1d,SHORT,2024-10-22 23:00:00,2025-02-14 00:00:00,0.030081632966256235,Kijun Cross
EURUSD=X,trad,1d,LONG,2025-08-28 23:00:00,2025-10-08 23:00:00,-0.005245651406548252,Kijun Cross
EURUSD=X,trad,1d,LONG,2025-12-16 00:00:00,2026-01-02 00:00:00,-0.001,End of Data
GBPUSD=X,trad,4h,SHORT,2025-10-24 08:00:00,2025-11-11 12:00:00,0.008750636980336929,Kijun Cross
GBPUSD=X,trad,4h,SHORT,2025-11-19 16:00:00,2025-11-25 12:00:00,-0.01105341932769523,Kijun Cross
GBPUSD=X,trad,4h,LONG,2025-11-26 12:00:00,2025-12-17 04:00:00,0.006207020450175146,Kijun Cross
GBPUSD=X,trad,1d,LONG,2024-08-18 23:00:00,2024-10-13 23:00:00,0.006868524676713194,Kijun Cross
GBPUSD=X,trad,1d,LONG,2025-09-14 23:00:00,2025-09-21 23:00:00,-0.00754385216523243,Kijun Cross
AUDUSD=X,trad,4h,SHORT,2025-11-04 08:00:00,2025-11-12 12:00:00,-0.007278584718983285,Kijun Cross
AUDUSD=X,trad,4h,LONG,2025-11-13 00:00:00,2025-11-14 08:00:00,-0.00835813162952604,Kijun Cross
AUDUSD=X,trad,4h,SHORT,2025-11-18 16:00:00,2025-11-26 00:00:00,0.0012762946597326273,Kijun Cross
AUDUSD=X,trad,4h,LONG,2025-11-27 16:00:00,2025-12-17 00:00:00,0.013714682489930245,Kijun Cross
AUDUSD=X,trad,4h,LONG,2025-12-23 08:00:00,2026-01-02 20:00:00,-0.001,End of Data
AUDUSD=X,trad,1d,SHORT,2024-08-07 23:00:00,2024-08-08 23:00:00,-0.012667866509208297,Kijun Cross
AUDUSD=X,trad,1d,LONG,2024-09-01 23:00:00,2024-10-21 23:00:00,-0.017978071785002728,Kijun Cross
AUDUSD=X,trad,1d,SHORT,2024-10-30 00:00:00,2025-02-21 00:00:00,0.023211939271030768,Kijun Cross
AUDUSD=X,trad,1d,LONG,2025-09-17 23:00:00,2025-09-25 23:00:00,-0.018314776528541906,Kijun Cross
AUDUSD=X,trad,1d,LONG,2025-12-19 00:00:00,2026-01-02 00:00:00,-0.001,End of Data
GC=F,trad,4h,SHORT,2025-10-24 08:00:00,2025-11-07 16:00:00,0.014065302044644738,Kijun Cross
GC=F,trad,4h,LONG,2025-11-27 04:00:00,2025-12-29 12:00:00,0.037348410082919205,Kijun Cross
GC=F,trad,1d,LONG,2024-07-15 04:00:00,2024-07-25 04:00:00,-0.030303728119894426,Kijun Cross
GC=F,trad,1d,LONG,2025-01-21 05:00:00,2025-08-14 04:00:00,0.20959889334732304,Kijun Cross
^GSPC,trad,4h,LONG,2025-12-03 12:00:00,2026-01-02 20:00:00,-0.001,End of Data
^GSPC,trad,4h,LONG,2025-12-29 20:00:00,2026-01-02 20:00:00,-0.001,End of Data
^GSPC,trad,1d,LONG,2024-05-15 04:00:00,2024-08-02 04:00:00,0.006236072258064991,Kijun Cross
^GSPC,trad,1d,LONG,2024-05-17 04:00:00,2024-08-02 04:00:00,0.007162895515987013,Kijun Cross
^GSPC,trad,1d,LONG,2025-02-11 05:00:00,2025-02-25 05:00:00,-0.01966194281947763,Kijun Cross
^GSPC,trad,1d,SHORT,2025-03-19 04:00:00,2025-04-25 04:00:00,0.02544447721473486,Kijun Cross
^GSPC,trad,1d,LONG,2025-05-13 04:00:00,2025-11-18 05:00:00,0.12314233188842347,Kijun Cross
^GSPC,trad,1d,LONG,2025-12-22 05:00:00,2026-01-02 05:00:00,-0.001,End of Data
CL=F,trad,4h,LONG,2025-10-23 20:00:00,2025-11-05 08:00:00,-0.01948547792275582,Kijun Cross
CL=F,trad,4h,LONG,2025-11-11 20:00:00,2025-11-12 12:00:00,-0.03525668267639068,Kijun Cross
CL=F,trad,4h,SHORT,2025-11-12 12:00:00,2025-11-14 12:00:00,-0.02374270526529239,Kijun Cross
CL=F,trad,4h,SHORT,2025-11-21 00:00:00,2025-11-28 12:00:00,-0.01819690410592617,Kijun Cross
CL=F,trad,4h,SHORT,2025-12-10 16:00:00,2025-12-22 08:00:00,0.01635869081351927,Kijun Cross
CL=F,trad,4h,LONG,2025-12-23 16:00:00,2025-12-26 16:00:00,-0.030421782978828367,Kijun Cross
CL=F,trad,1d,LONG,2024-07-10 04:00:00,2024-07-23 04:00:00,-0.06360657107403755,Kijun Cross
CL=F,trad,1d,SHORT,2024-08-02 04:00:00,2024-08-12 04:00:00,-0.08995540280392715,Kijun Cross
CL=F,trad,1d,LONG,2025-06-11 04:00:00,2025-06-24 04:00:00,-0.05646586492535116,Kijun Cross
DX-Y.NYB,trad,4h,LONG,2025-10-23 08:00:00,2025-10-28 00:00:00,-0.005671221401315618,Kijun Cross
DX-Y.NYB,trad,4h,LONG,2025-11-19 16:00:00,2025-11-25 16:00:00,-0.00662712394927201,Kijun Cross
DX-Y.NYB,trad,4h,SHORT,2025-12-01 08:00:00,2025-12-17 08:00:00,0.005288299491248131,Kijun Cross
DX-Y.NYB,trad,1d,LONG,2024-10-25 04:00:00,2025-02-13 05:00:00,0.028253744100043558,Kijun Cross
DX-Y.NYB,trad,1d,SHORT,2025-12-24 05:00:00,2026-01-02 05:00:00,-0.001,End of Data
^NDX,trad,4h,LONG,2025-12-03 12:00:00,2025-12-17 12:00:00,-0.027873994309778417,Kijun Cross
^NDX,trad,4h,LONG,2025-12-29 20:00:00,2026-01-02 12:00:00,-0.014142517487792841,Kijun Cross
^NDX,trad,1d,LONG,2024-05-17 04:00:00,2024-07-25 04:00:00,0.014331935503234632,Kijun Cross
^NDX,trad,1d,SHORT,2024-08-07 04:00:00,2024-08-15 04:00:00,-0.09182373779977969,Kijun Cross
^NDX,trad,1d,SHORT,2025-03-19 04:00:00,2025-04-25 04:00:00,0.014407855582835322,Kijun Cross
^NDX,trad,1d,LONG,2025-05-13 04:00:00,2025-11-18 05:00:00,0.15493203566645924,Kijun Cross
^NDX,trad,1d,LONG,2025-12-22 05:00:00,2026-01-02 05:00:00,-0.001,End of Data
^AXJO,trad,1d,LONG,2024-09-04 14:00:00,2024-12-15 13:00:00,0.032461127095101495,Kijun Cross
^AXJO,trad,1d,SHORT,2025-03-13 13:00:00,2025-04-22 14:00:00,-0.01779137853934476,Kijun Cross
^AXJO,trad,1d,LONG,2025-05-12 14:00:00,2025-09-17 14:00:00,0.05658860748730197,Kijun Cross
