datetime,open,high,low,close,volume
2025-03-03,1.1369,1.1661,0.8245,0.8558,2470926.1
2025-03-04,0.8577,0.9558,0.7593,0.9424,2725467.8
2025-03-05,0.9364,1.0256,0.9158,0.973,1494269.3
2025-03-06,0.9729,0.9855,0.8878,0.9076,801228.1
2025-03-07,0.9065,0.9194,0.8044,0.8164,2017495.1
2025-03-08,0.8175,0.84,0.7952,0.804,473938.3
2025-03-09,0.8022,0.8174,0.7103,0.7208,1087905.0
2025-03-10,0.7222,0.7776,0.6591,0.6707,818196.0
2025-03-11,0.6725,0.7437,0.649,0.7236,951056.4
2025-03-12,0.7262,0.7675,0.7116,0.7372,668369.1
2025-03-13,0.7341,0.7417,0.6916,0.7029,237093.4
2025-03-14,0.7018,0.7505,0.6975,0.7373,297601.6
2025-03-15,0.7379,0.759,0.7315,0.7482,289922.8
2025-03-16,0.7456,0.7467,0.6958,0.706,340151.4
2025-03-17,0.7053,0.7296,0.7028,0.7175,270705.1
2025-03-18,0.716,0.7188,0.6825,0.7032,253756.0
2025-03-19,0.7008,0.7461,0.7007,0.7441,323686.8
2025-03-20,0.7427,0.7536,0.7128,0.7167,211892.0
2025-03-21,0.7167,0.7256,0.7012,0.705,175826.0
2025-03-22,0.7054,0.716,0.6978,0.7014,146983.9
2025-03-23,0.7016,0.7147,0.6912,0.7098,136061.6
2025-03-24,0.7099,0.7439,0.7062,0.7317,380733.7
2025-03-25,0.7324,0.7662,0.7216,0.7443,802063.0
2025-03-26,0.7443,0.7728,0.7212,0.7273,421666.3
2025-03-27,0.7286,0.7433,0.7212,0.7381,835419.0
2025-03-28,0.7382,0.7458,0.6899,0.7064,547348.1
2025-03-29,0.7058,0.7116,0.6597,0.6735,397992.6
2025-03-30,0.6736,0.686,0.6519,0.6593,291875.1
2025-03-31,0.6619,0.685,0.631,0.6612,274999.1
2025-04-01,0.6625,0.6937,0.6581,0.6777,240538.9
2025-04-02,0.676,0.7067,0.6358,0.6391,454216.8
2025-04-03,0.6401,0.6571,0.6135,0.6504,405223.8
2025-04-04,0.6525,0.6701,0.628,0.6608,674974.2
2025-04-05,0.6588,0.6665,0.6454,0.6545,91910.1
2025-04-06,0.6535,0.6553,0.5604,0.5714,705987.2
