datetime,open,high,low,close,volume
2023-04-26,1.49,1.5042,1.3247,1.3685,214600.2
2023-04-30,1.3631,1.4224,1.2903,1.3466,93431.6
2023-05-04,1.3378,1.368,1.2198,1.2378,119148.5
2023-05-08,1.2226,1.2291,1.0139,1.0841,268098.7
2023-05-12,1.0886,1.2296,1.0665,1.195,61205.8
2023-05-16,1.1945,1.2104,1.1329,1.1612,56001.5
2023-05-20,1.1578,1.1762,1.1098,1.17,55041.3
2023-05-24,1.1635,1.179,1.075,1.1768,62136.2
2023-05-28,1.1716,1.2776,1.142,1.1598,68242.3
2023-06-01,1.159,1.2565,1.1298,1.2068,65802.09999999999
2023-06-05,1.2048,1.2308,1.02,1.1353,130074.6
2023-06-09,1.1132,4.0,0.62,0.9962,34731.9
2023-06-13,0.9965,1.1209,0.8949,1.0206,9816.5
2023-06-17,1.0206,1.1035,0.9709,1.0555,4458.3
2023-06-21,1.0864,1.35,1.0555,1.1842,17749.9
2023-06-25,1.1842,1.2855,1.1,1.1153,51962.3
2023-06-29,1.1153,1.1963,1.1153,1.1771,21600.8
2023-07-03,1.1702,1.2249,1.0889,1.122,16046.4
2023-07-07,1.122,1.2521,1.0953,1.12,43283.299999999996
2023-07-11,1.1419,1.33,1.1101,1.2116,35558.1
2023-07-15,1.2116,1.3542,1.2116,1.2498,56344.1
2023-07-19,1.2342,1.3067,1.2147,1.2511,33554.7
2023-07-23,1.2351,1.2696,1.1522,1.2049,15752.5
2023-07-27,1.203,1.2115,1.1521,1.175,8066.6
2023-07-31,1.1799,1.2,1.06,1.1533,15484.8
2023-08-04,1.1254,1.1669,1.1082,1.1342,6736.5
2023-08-08,1.1273,1.2322,1.1,1.1513,9003.7
2023-08-12,1.1715,1.1812,1.1264,1.1264,3339.1
2023-08-16,1.1264,1.1451,0.9681,1.0286,42500.3
2023-08-20,1.0286,1.0764,0.9496,1.0089,13679.9
2023-08-24,1.025,1.0763,0.938,0.9575,5880.0
2023-08-28,0.975,0.99,0.91,0.9317,9779.3
2023-09-01,0.932,0.9437,0.8704,0.9033,12188.3
2023-09-05,0.9177,0.9489,0.8701,0.8987,16417.8
2023-09-09,0.9018,0.907,0.75,0.7726,24244.899999999998
2023-09-13,0.7881,0.8378,0.7665,0.8259,5612.8
2023-09-17,0.8214,0.89,0.7556,0.8413,17788.800000000003
2023-09-21,0.8596,0.8899,0.7484,0.8164,8346.1
2023-09-25,0.8075,0.91,0.755,0.8845,18480.3
2023-09-29,0.893,1.15,0.85,0.9263,13079.099999999999
2023-10-03,0.9317,0.9644,0.8584,0.886,39063.9
2023-10-07,0.8951,0.8951,0.79,0.8137,10081.1
2023-10-11,0.8238,0.8238,0.79,0.8045,4205.2
2023-10-15,0.8044,0.8743,0.76,0.7673,11410.6
2023-10-19,0.7706,0.8509,0.75,0.8486,7842.7
2023-10-23,0.854,0.9843,0.76,0.9457,22776.3
2023-10-27,0.9308,0.9662,0.8873,0.9662,19029.8
2023-10-31,0.9662,1.0999,0.891,1.0695,61870.3
2023-11-04,1.0598,1.1402,1.01,1.0971,62849.2
2023-11-08,1.0971,1.222,1.01,1.13,51355.100000000006
2023-11-12,1.1339,1.2079,1.0346,1.1496,46082.8
2023-11-16,1.1488,1.176,0.98,1.039,101923.0
2023-11-20,1.0394,1.0778,0.95,1.02,63158.3
2023-11-24,1.02,1.1139,0.9938,1.0157,40708.1
2023-11-28,1.0157,1.0446,0.9924,1.036,22057.3
2023-12-02,1.0389,1.33,1.0377,1.1014,119105.7
2023-12-06,1.1015,1.2498,1.0436,1.1359,173934.4
2023-12-10,1.1408,1.2565,1.061,1.185,156044.1
2023-12-14,1.182,1.1999,1.0944,1.1083,83263.7
2023-12-18,1.1083,1.1935,1.0361,1.1605,151455.7
2023-12-22,1.1497,1.4738,1.1279,1.3912,250340.5
2023-12-26,1.3855,1.9698,1.2368,1.5073,201144.3
2023-12-30,1.5094,1.8437,1.4342,1.7601,303217.6
2024-01-03,1.7766,2.1298,1.3484,1.7404,880642.3
2024-01-07,1.7591,2.3,1.5753,2.2308,362512.0
2024-01-11,2.2308,2.4007,2.026,2.026,205743.90000000002
2024-01-15,2.0401,2.2138,1.8602,1.888,82036.6
2024-01-19,1.888,1.9069,1.6627,1.6894,140970.1
2024-01-23,1.689,1.8155,1.55,1.8134,58688.5
2024-01-27,1.8172,1.9648,1.7763,1.8825,54600.2
2024-01-31,1.884,1.8862,1.6986,1.778,25769.5
2024-02-04,1.7683,1.9284,1.69,1.921,27601.0
2024-02-08,1.8972,2.0112,1.864,1.9412,54311.9
2024-02-12,1.9422,2.1696,1.9207,2.052,84717.9
2024-02-16,2.0516,2.0984,1.9191,2.058,55455.8
2024-02-20,2.0623,2.0817,1.745,1.8168,58621.299999999996
2024-02-24,1.8063,1.992,1.74,1.9192,93231.0
2024-02-28,1.8969,2.1947,1.8138,2.0149,143773.4
2024-03-03,2.0148,2.229,1.74,2.05,257096.2
2024-03-07,2.0753,2.2776,1.9996,2.0643,151363.2
2024-03-11,2.0649,2.2586,1.9216,2.0116,186439.7
2024-03-15,2.0189,2.0269,1.6091,1.622,145311.2
2024-03-19,1.6444,1.7938,1.4564,1.5872,83794.9
2024-03-23,1.605,1.7551,1.5873,1.7046,38703.6
2024-03-27,1.6926,1.884,1.6261,1.64,60625.2
2024-03-31,1.6535,1.854,1.42,1.4817,68087.7
2024-04-04,1.4817,1.5349,1.3927,1.523,20180.0
2024-04-08,1.5192,1.85,1.4173,1.4178,46456.7
2024-04-12,1.4181,1.4439,0.9368,1.1525,102134.2
2024-04-16,1.1499,1.2304,1.055,1.1244,32071.3
2024-04-20,1.1244,1.2342,1.115,1.1754,33489.3
2024-04-24,1.1819,1.2002,1.0289,1.1223,18825.8
2024-04-28,1.12,1.1999,0.9754,1.0267,34962.0
2024-05-02,1.0161,1.148,1.0026,1.07,36298.399999999994
2024-05-06,1.0816,1.1445,1.0041,1.0399,27021.6
2024-05-10,1.0392,1.0515,0.96,0.986,5449.7
2024-05-14,0.9834,1.0703,0.9261,1.0317,51887.5
2024-05-18,1.0294,1.23,0.9558,1.1983,54779.399999999994
2024-05-22,1.212,1.39,1.1106,1.1908,58402.7
2024-05-26,1.2122,1.2689,1.1392,1.1392,26580.0
2024-05-30,1.1391,1.1592,1.0944,1.11,23471.1
2024-06-03,1.11,1.1325,1.0743,1.0908,12513.2
2024-06-07,1.089,1.1785,0.956,0.9634,64813.2
2024-06-11,0.9661,0.9959,0.8841,0.9209,23638.3
2024-06-15,0.9227,0.933,0.769,0.794,32643.6
2024-06-19,0.7922,0.8438,0.7865,0.8343,20514.9
2024-06-23,0.8155,0.8456,0.7671,0.8191,39881.8
2024-06-27,0.8121,0.8317,0.7717,0.8019,59810.5
2024-07-01,0.8034,0.8132,0.68,0.68,27754.2
2024-07-05,0.68,0.6956,0.5681,0.6634,37007.6
2024-07-09,0.6717,0.7316,0.6717,0.6977,14923.9
2024-07-13,0.7006,0.789,0.6951,0.7482,20981.899999999998
2024-07-17,0.7675,0.7911,0.7393,0.7818,11557.9
2024-07-21,0.7786,0.84,0.7377,0.7377,68698.0
2024-07-25,0.7352,0.8446,0.6762,0.7368,41761.0
2024-07-29,0.7192,0.777,0.6154,0.6465,45163.399999999994
2024-08-02,0.6481,0.663,0.44,0.4984,33118.5
2024-08-06,0.4985,0.5869,0.48,0.5752,56200.50000000001
2024-08-10,0.5748,0.595,0.5505,0.5836,13883.7
2024-08-14,0.5787,0.82,0.5302,0.537,13945.500000000002
2024-08-18,0.5407,0.5579,0.53,0.5547,31931.7
2024-08-22,0.5487,0.6339,0.5487,0.6016,63250.600000000006
2024-08-26,0.6016,0.6035,0.5091,0.5121,13635.400000000001
2024-08-30,0.5123,0.5205,0.4855,0.5205,20748.2
2024-09-03,0.5158,0.5198,0.4724,0.4725,67576.8
2024-09-07,0.4838,0.5396,0.4838,0.5339,12473.8
2024-09-11,0.5262,0.539,0.5045,0.531,7356.3
2024-09-15,0.5325,0.5378,0.4993,0.5246,12866.0
2024-09-19,0.5308,0.6217,0.5308,0.5997,17711.6
2024-09-23,0.6009,0.645,0.5871,0.6138,19724.6
2024-09-27,0.6229,0.6759,0.6,0.6,31534.399999999998
2024-10-01,0.6099,0.644,0.5162,0.5658,19758.699999999997
2024-10-05,0.5667,0.5737,0.5431,0.5431,9307.8
2024-10-09,0.5423,0.543,0.5077,0.5372,9520.199999999999
2024-10-13,0.5317,0.6,0.5197,0.5598,17235.3
2024-10-17,0.5578,0.6147,0.5411,0.6124,27662.0
2024-10-21,0.6152,0.6155,0.5447,0.5611,14467.7
2024-10-25,0.5536,0.6062,0.4859,0.528,24713.300000000003
2024-10-29,0.5297,0.5678,0.512,0.515,30057.300000000003
2024-11-02,0.5166,0.52,0.46,0.4912,5081.299999999999
2024-11-06,0.4934,0.6223,0.4934,0.6223,52566.8
2024-11-10,0.6115,0.6844,0.26,0.6013,142240.7
2024-11-14,0.6183,0.7621,0.5676,0.6721,142260.0
2024-11-18,0.6751,0.8199,0.6529,0.7816,121795.8
2024-11-22,0.7784,0.957,0.7611,0.9072,265565.6
2024-11-26,0.8998,1.0867,0.8371,0.9413,132828.8
2024-11-30,0.94,1.0831,0.9095,1.0517,109439.4
2024-12-04,1.0404,1.25,0.95,1.1635,121129.7
2024-12-08,1.179,1.1956,0.84,1.0028,94189.1
2024-12-12,1.0028,1.0912,0.8552,1.0171,47916.1
2024-12-16,1.0111,1.0611,0.7585,0.7976,117146.5
2024-12-20,0.779,0.868,0.6764,0.8136,67171.6
2024-12-24,0.7996,0.91,0.7495,0.7585,22624.2
2024-12-28,0.7645,0.9999,0.6994,0.7214,48263.7
2025-01-01,0.7214,0.91,0.7055,0.9053,44543.2
2025-01-05,0.8963,0.9557,0.7563,0.7919,65087.09999999999
2025-01-09,0.7919,0.793,0.7256,0.7256,11473.2
2025-01-13,0.744,0.798,0.6599,0.7674,35296.6
2025-01-17,0.7571,0.8313,0.5844,0.7113,61043.6
2025-01-21,0.6948,0.7888,0.6739,0.6881,35817.399999999994
2025-01-25,0.6956,0.7171,0.5897,0.5897,10942.1
2025-01-29,0.596,0.6705,0.5691,0.5739,50657.600000000006
2025-02-02,0.5827,0.5917,0.3842,0.467,67651.0
2025-02-06,0.4777,0.4813,0.4259,0.4479,26460.2
2025-02-10,0.4493,0.5034,0.4392,0.4848,24077.2
2025-02-14,0.4848,0.5133,0.4624,0.4925,12588.0
2025-02-18,0.4986,0.5434,0.444,0.4657,10724.2
2025-02-22,0.4704,0.5235,0.3847,0.4082,20586.3
2025-02-26,0.4206,0.4387,0.3869,0.4289,13895.3
