datetime,open,high,low,close,volume
2024-08-18,20.69,21.47,20.56,20.79,834.04
2024-08-19,20.77,21.22,20.41,21.22,1819.18
2024-08-20,21.21,22.75,21.2,22.27,6405.54
2024-08-21,22.32,23.76,22.32,23.44,2795.22
2024-08-22,23.52,25.28,23.11,25.27,4293.6
2024-08-23,25.25,26.95,25.25,26.45,4536.11
2024-08-24,26.43,27.93,23.18,27.11,2881.55
2024-08-25,27.03,27.65,26.16,26.97,1225.98
2024-08-26,27.11,27.17,25.9,25.9,993.82
2024-08-27,26.09,26.77,23.74,24.16,2628.91
2024-08-28,24.05,24.81,23.22,23.55,3414.3
2024-08-29,23.47,24.64,22.77,22.87,1845.44
2024-08-30,22.84,23.6,22.17,23.27,1320.93
2024-08-31,23.29,23.34,22.5,22.74,512.64
2024-09-01,22.81,22.81,21.19,21.45,10146.42
2024-09-02,21.46,22.53,21.4,22.42,1650.88
2024-09-03,22.4,22.7,21.38,21.4,1701.5
2024-09-04,21.4,22.28,20.52,21.9,1591.48
2024-09-05,21.86,22.17,21.22,21.38,879.75
2024-09-06,21.38,22.17,20.5,21.07,2561.62
2024-09-07,21.16,21.96,21.09,21.79,704.74
2024-09-08,21.8,23.47,21.79,23.23,2164.04
2024-09-09,23.28,24.33,23.16,23.88,2562.04
2024-09-10,23.84,24.55,23.6,24.33,1550.26
2024-09-11,24.35,24.44,22.93,23.28,1085.06
2024-09-12,23.3,24.07,23.29,24.05,679.07
2024-09-13,24.02,25.05,23.63,24.84,1126.92
2024-09-14,24.9,26.79,24.63,25.28,2637.58
2024-09-15,25.33,25.34,23.73,23.85,1493.69
2024-09-16,23.78,24.2,23.25,23.57,735.47
2024-09-17,23.44,24.44,23.18,23.74,1675.54
2024-09-18,23.72,24.68,22.85,24.55,1353.46
2024-09-19,24.67,26.72,24.67,26.61,21376.46
2024-09-20,26.7,28.73,26.5,27.58,7414.25
2024-09-21,27.62,28.01,27.01,27.93,827.03
2024-09-22,27.71,27.71,26.48,27.37,718.73
2024-09-23,27.21,28.11,26.59,27.4,1287.72
2024-09-24,27.38,28.51,26.87,28.48,1209.35
2024-09-25,28.5,28.5,27.17,27.17,1702.15
2024-09-26,27.28,29.39,26.99,29.15,3994.23
2024-09-27,29.17,30.82,28.98,30.32,1503.19
2024-09-28,30.51,30.73,29.06,29.26,1772.3
2024-09-29,29.36,29.41,28.29,29.0,5689.38
2024-09-30,28.98,29.04,27.6,27.63,3921.95
2024-10-01,27.76,28.84,24.8,25.93,6107.3
2024-10-02,25.78,26.72,25.06,25.35,1206.48
2024-10-03,25.3,25.63,23.93,24.69,1185.04
2024-10-04,24.6,26.45,24.47,26.17,1615.57
2024-10-05,26.24,26.4,25.13,25.65,898.2
2024-10-06,25.65,27.02,25.64,26.93,1248.59
2024-10-07,26.96,27.71,26.54,26.57,897.58
2024-10-08,26.55,27.15,26.06,26.33,629.42
2024-10-09,26.41,26.65,25.71,25.84,1075.65
2024-10-10,25.78,26.33,25.09,25.88,1790.45
2024-10-11,25.91,27.52,25.79,27.29,1552.46
2024-10-12,27.48,29.36,26.64,28.63,2128.72
2024-10-13,28.53,29.28,28.33,29.08,1685.82
2024-10-14,29.01,29.8,28.69,29.02,3328.39
2024-10-15,29.02,29.52,27.58,28.16,3695.53
2024-10-16,28.16,28.17,27.28,28.17,3473.72
2024-10-17,28.12,28.21,26.85,27.25,2377.67
2024-10-18,27.28,28.14,26.5,28.04,3770.3
2024-10-19,28.1,28.41,27.8,28.1,1312.86
2024-10-20,28.14,28.96,27.77,28.96,2485.54
2024-10-21,28.96,29.3,27.42,27.77,3244.76
2024-10-22,27.71,28.19,27.03,27.61,2118.87
2024-10-23,27.65,27.66,25.93,26.74,2195.11
2024-10-24,26.72,27.22,26.41,26.91,1617.78
2024-10-25,26.82,26.83,24.04,24.88,3350.71
2024-10-26,24.87,25.65,24.63,25.37,1617.35
2024-10-27,25.38,25.88,25.24,25.74,643.79
2024-10-28,25.86,26.48,25.08,26.24,2318.43
2024-10-29,26.24,27.08,26.21,26.81,1876.79
2024-10-30,26.88,26.88,26.03,26.24,2028.65
2024-10-31,26.19,26.19,24.71,25.07,2827.3
2024-11-01,25.02,25.68,24.37,24.8,3221.75
2024-11-02,24.87,24.99,23.87,24.06,1402.97
2024-11-03,24.13,24.15,22.62,23.55,3020.55
2024-11-04,23.59,23.85,22.38,22.72,1811.99
2024-11-05,22.79,24.46,22.63,23.98,2330.65
2024-11-06,24.03,27.26,24.03,27.06,5038.0
2024-11-07,26.97,27.97,26.58,27.31,2877.25
2024-11-08,27.42,28.77,27.16,28.75,4534.28
2024-11-09,28.77,30.45,28.52,30.35,5386.98
2024-11-10,30.39,33.28,29.61,31.89,20105.38
2024-11-11,31.84,35.78,29.15,35.61,10026.88
2024-11-12,35.59,37.63,32.72,33.93,13921.91
2024-11-13,33.9,35.03,30.85,33.14,9606.48
2024-11-14,33.01,34.66,30.73,31.12,11487.74
2024-11-15,31.21,33.24,30.64,33.1,5973.1
2024-11-16,33.12,35.52,29.0,35.0,15820.58
2024-11-17,35.12,37.19,33.11,34.72,6754.47
2024-11-18,34.65,36.13,34.1,35.43,5216.89
2024-11-19,35.33,35.59,33.59,34.23,3331.09
2024-11-20,34.18,36.01,32.82,33.59,6173.4
2024-11-21,33.55,36.12,32.39,35.78,6980.23
2024-11-22,35.78,43.54,35.16,43.13,16905.84
2024-11-23,43.13,45.21,40.87,41.45,17729.73
2024-11-24,41.47,43.1,38.65,42.11,9144.56
2024-11-25,42.03,47.83,40.26,41.36,16967.67
2024-11-26,41.47,43.34,38.62,42.89,8473.28
2024-11-27,42.68,44.37,42.11,43.85,8779.09
2024-11-28,43.78,44.18,41.59,42.8,6772.0
2024-11-29,42.8,45.02,42.61,44.81,4969.83
2024-11-30,44.77,46.04,43.76,44.91,5027.05
2024-12-01,44.85,45.79,43.75,45.13,13224.45
2024-12-02,45.11,52.59,45.11,52.59,22400.59
2024-12-03,52.55,53.88,47.91,51.0,10936.92
2024-12-04,50.88,55.74,50.88,52.84,11174.66
2024-12-05,52.59,53.57,49.0,50.4,5806.57
2024-12-06,50.3,53.34,49.67,52.56,7366.04
2024-12-07,52.38,53.0,50.87,51.62,8442.18
2024-12-08,51.6,54.28,50.43,54.05,3812.98
2024-12-09,53.89,54.15,42.0,45.1,16279.38
2024-12-10,44.99,46.46,41.52,44.48,7122.24
2024-12-11,44.55,48.43,42.89,48.43,3950.45
2024-12-12,48.31,55.0,48.25,53.03,14368.23
2024-12-13,53.24,53.97,50.75,52.66,3272.59
2024-12-14,52.66,53.77,49.44,49.85,4704.08
2024-12-15,49.8,51.26,48.19,50.7,6553.04
2024-12-16,50.76,51.96,48.41,48.99,2604.72
2024-12-17,48.99,50.78,47.52,47.78,5046.8
2024-12-18,47.91,48.15,42.69,42.86,6864.79
2024-12-19,42.9,43.56,37.51,38.84,7824.92
2024-12-20,39.02,40.34,33.67,39.65,7142.25
2024-12-21,39.79,42.35,36.99,37.35,3827.04
2024-12-22,37.3,38.49,35.55,36.57,2715.05
2024-12-23,36.61,39.67,35.5,39.0,4256.38
2024-12-24,39.14,42.01,37.79,41.28,3174.69
2024-12-25,41.12,41.85,39.86,40.28,1455.33
2024-12-26,40.21,40.67,37.04,37.35,2509.54
2024-12-27,37.4,39.02,36.3,36.43,2708.82
