datetime,open,high,low,close,volume
2025-11-16 00:00:00,939.37,949.37,933.73,933.73,72.441
2025-11-16 12:00:00,932.59,940.49,908.91,929.14,243.029
2025-11-17 00:00:00,926.92,938.99,918.65,932.05,69.197
2025-11-17 12:00:00,934.05,934.05,892.11,905.92,374.073
2025-11-18 00:00:00,907.66,924.28,885.0,915.1,377.712
2025-11-18 12:00:00,915.58,937.67,909.8,932.22,134.037
2025-11-19 00:00:00,929.07,940.89,913.85,921.59,68.865
2025-11-19 12:00:00,922.57,924.7,866.0,898.59,375.623
2025-11-20 00:00:00,893.51,913.73,893.51,902.35,147.287
2025-11-20 12:00:00,902.28,906.02,866.25,866.25,216.164
2025-11-21 00:00:00,869.39,878.11,805.73,810.23,484.093
2025-11-21 12:00:00,811.53,836.64,790.69,829.08,277.471
2025-11-22 00:00:00,830.89,842.98,813.41,826.74,162.034
2025-11-22 12:00:00,826.39,840.79,817.0,837.86,129.594
2025-11-23 00:00:00,835.54,854.5,834.29,842.32,86.72
2025-11-23 12:00:00,843.13,855.69,843.13,843.73,116.94200000000001
2025-11-24 00:00:00,841.64,856.92,837.4,841.5,93.656
2025-11-24 12:00:00,841.45,876.37,831.67,865.0,198.709
2025-11-25 00:00:00,864.98,867.44,847.43,851.33,99.91199999999999
2025-11-25 12:00:00,852.24,867.66,840.0,866.6,94.8
2025-11-26 00:00:00,863.24,871.03,854.12,857.57,38.017
2025-11-26 12:00:00,858.37,897.95,851.35,891.39,144.674
2025-11-27 00:00:00,892.2,905.06,889.33,891.28,82.416
2025-11-27 12:00:00,893.0,898.76,883.96,895.42,56.554
2025-11-28 00:00:00,895.36,900.33,883.15,892.0,72.345
2025-11-28 12:00:00,893.0,905.53,876.69,887.38,116.862
2025-11-29 00:00:00,887.16,891.71,877.46,879.2,59.132000000000005
2025-11-29 12:00:00,879.56,882.48,868.73,875.17,96.057
2025-11-30 00:00:00,872.36,879.18,870.16,877.74,65.346
2025-11-30 12:00:00,876.86,899.75,875.6,875.6,156.266
2025-12-01 00:00:00,875.49,875.88,821.31,824.72,186.487
2025-12-01 12:00:00,825.17,830.65,802.81,828.61,201.95000000000002
2025-12-02 00:00:00,827.74,843.95,821.01,843.95,82.471
2025-12-02 12:00:00,843.61,884.8,839.51,876.69,309.67400000000004
2025-12-03 00:00:00,876.72,919.0,872.72,895.62,105.193
2025-12-03 12:00:00,899.55,922.34,891.74,921.0,67.178
2025-12-04 00:00:00,922.53,930.12,906.33,909.2,103.68599999999999
2025-12-04 12:00:00,909.43,912.43,889.79,901.51,50.895
2025-12-05 00:00:00,902.18,907.98,889.82,893.05,56.327999999999996
2025-12-05 12:00:00,893.03,896.74,873.12,883.78,55.299
2025-12-06 00:00:00,882.9,889.22,877.93,882.85,61.196999999999996
2025-12-06 12:00:00,883.64,897.62,883.04,889.95,65.53699999999999
2025-12-07 00:00:00,889.49,897.84,886.66,888.67,41.3
2025-12-07 12:00:00,887.72,905.4,871.67,892.99,74.202
2025-12-08 00:00:00,893.95,911.5,890.46,906.71,26.741
2025-12-08 12:00:00,905.67,913.16,889.79,899.85,96.267
2025-12-09 00:00:00,898.48,900.85,884.45,887.41,46.063
2025-12-09 12:00:00,886.49,927.53,882.33,896.44,93.481
2025-12-10 00:00:00,896.26,900.46,885.61,890.87,53.204
2025-12-10 12:00:00,885.49,913.85,885.22,894.82,49.998000000000005
2025-12-11 00:00:00,895.58,895.58,862.69,868.84,47.64
2025-12-11 12:00:00,864.29,891.66,860.87,884.88,87.02199999999999
2025-12-12 00:00:00,887.09,895.75,880.46,885.76,45.08
2025-12-12 12:00:00,885.7,892.38,872.96,880.97,45.278
2025-12-13 00:00:00,883.74,893.16,880.51,893.14,24.154
2025-12-13 12:00:00,893.17,903.92,874.13,895.98,51.857
2025-12-14 00:00:00,895.97,900.53,887.62,887.62,19.965
2025-12-14 12:00:00,887.62,893.2,871.25,877.5,18.134999999999998
2025-12-15 00:00:00,879.13,893.06,876.74,888.11,16.24
2025-12-15 12:00:00,887.91,890.26,841.25,856.54,75.041
2025-12-16 00:00:00,856.69,866.19,850.29,866.19,32.546
2025-12-16 12:00:00,865.96,877.56,860.7,875.0,79.297
2025-12-17 00:00:00,872.29,873.65,855.9,860.71,28.34
2025-12-17 12:00:00,860.35,874.76,834.2,842.66,44.728
2025-12-18 00:00:00,842.65,846.03,830.42,840.39,26.886
2025-12-18 12:00:00,839.3,853.03,816.99,829.91,43.804
2025-12-19 00:00:00,830.48,849.42,821.73,848.39,36.867
2025-12-19 12:00:00,848.12,861.82,843.46,856.94,48.056
2025-12-20 00:00:00,855.38,859.59,851.0,853.8,18.897000000000002
2025-12-20 12:00:00,854.04,854.59,850.76,852.6,19.458
2025-12-21 00:00:00,853.53,859.84,847.21,855.8,11.955
2025-12-21 12:00:00,858.02,859.59,845.56,857.63,137.053
2025-12-22 00:00:00,858.19,868.33,851.89,864.31,73.28
2025-12-22 12:00:00,865.08,870.0,853.83,859.58,110.738
2025-12-23 00:00:00,857.58,861.75,847.45,851.85,18.95
2025-12-23 12:00:00,853.13,853.13,839.0,844.25,49.818
2025-12-24 00:00:00,844.16,847.16,834.98,836.69,69.06700000000001
2025-12-24 12:00:00,840.74,850.37,835.76,848.0,13.673
2025-12-25 00:00:00,846.63,848.83,836.5,838.07,24.291
2025-12-25 12:00:00,837.62,844.64,827.66,830.57,19.618
2025-12-26 00:00:00,828.59,847.1,827.22,840.0,23.162
2025-12-26 12:00:00,838.8,843.36,820.23,835.26,30.082
2025-12-27 00:00:00,835.45,842.97,832.61,840.1,186.394
2025-12-27 12:00:00,841.56,842.2,837.62,841.06,1.911
