datetime,open,high,low,close,volume
2025-12-19 08:45:00,843.95,845.49,843.95,845.49,0.784
2025-12-19 09:00:00,845.49,845.49,845.49,845.49,0.0
2025-12-19 09:15:00,845.11,846.44,844.94,846.04,7.34
2025-12-19 09:30:00,846.95,846.95,846.95,846.95,0.019
2025-12-19 09:45:00,846.07,846.07,846.07,846.07,0.005
2025-12-19 10:00:00,846.07,846.07,846.07,846.07,0.0
2025-12-19 10:15:00,844.24,844.24,844.24,844.24,0.011
2025-12-19 10:30:00,845.09,845.2,845.09,845.2,0.012
2025-12-19 10:45:00,844.94,844.94,844.94,844.94,0.1
2025-12-19 11:00:00,845.06,848.22,845.06,848.22,6.43
2025-12-19 11:15:00,847.7,847.7,847.7,847.7,0.002
2025-12-19 11:30:00,848.04,848.04,848.04,848.04,0.045
2025-12-19 11:45:00,848.39,848.39,848.39,848.39,0.004
2025-12-19 12:00:00,848.12,848.42,848.12,848.42,3.702
2025-12-19 12:15:00,848.75,848.75,848.75,848.75,0.948
2025-12-19 12:30:00,848.29,848.38,845.75,845.75,5.018
2025-12-19 12:45:00,845.8,847.53,845.8,847.53,0.226
2025-12-19 13:00:00,846.35,846.84,846.35,846.84,0.026
2025-12-19 13:15:00,846.84,846.84,846.84,846.84,0.008
2025-12-19 13:30:00,847.59,847.59,846.14,847.0,0.124
2025-12-19 13:45:00,847.74,847.98,847.74,847.98,0.034
2025-12-19 14:00:00,847.67,849.66,847.67,849.66,1.721
2025-12-19 14:15:00,848.92,848.92,847.13,847.13,0.043
2025-12-19 14:30:00,843.8,848.71,843.8,848.71,1.506
2025-12-19 14:45:00,849.84,849.84,844.16,847.06,0.086
2025-12-19 15:00:00,849.34,849.34,849.34,849.34,0.023
2025-12-19 15:15:00,851.59,855.69,843.97,848.49,0.62
2025-12-19 15:30:00,848.49,848.49,848.49,848.49,0.0
2025-12-19 15:45:00,843.99,843.99,843.99,843.99,0.033
2025-12-19 16:00:00,849.32,851.37,849.31,851.37,0.3
2025-12-19 16:15:00,851.28,851.28,848.97,848.98,0.224
2025-12-19 16:30:00,851.4,853.35,850.53,853.35,0.279
2025-12-19 16:45:00,849.49,850.05,848.98,848.98,0.061
2025-12-19 17:00:00,848.97,849.59,848.97,849.59,0.277
