datetime,open,high,low,close,volume
2023-04-07,28033.82,29769.78,27763.3,29642.28,3911.444304
2023-04-11,29636.58,31015.88,29589.23,30461.9,10041.030705
2023-04-15,30466.38,30596.82,29095.3,30381.36,7670.920889999999
2023-04-19,30382.2,30409.62,27136.94,27818.2,13052.38589
2023-04-23,27813.95,30030.41,26962.3,28418.62,14585.05648
2023-04-27,28419.14,29962.87,28377.78,29224.89,7684.65395
2023-05-01,29237.64,29381.71,27667.89,28838.07,8071.96307
2023-05-05,28847.85,29831.41,27264.83,27669.62,6511.097470000001
2023-05-09,27658.38,28316.76,25816.67,26790.85,2266.51065
2023-05-13,26801.54,27660.54,26575.51,27035.73,1650.21889
2023-05-17,27035.73,27496.07,26328.2,27100.7,1942.13222
2023-05-21,27106.16,27493.33,26080.19,26331.72,3184.38768
2023-05-25,26321.61,28256.38,25873.88,28063.46,2097.7320600000003
2023-05-29,28069.22,28444.71,26611.33,26815.41,3109.14896
2023-06-02,26812.5,27454.7,25395.44,25725.97,1949.52932
2023-06-06,25733.56,27363.71,25355.82,26504.97,1561.38788
2023-06-10,26505.11,26544.0,25551.4,25924.41,788.16906
2023-06-14,25925.46,26763.68,24817.35,26528.85,744.03994
2023-06-18,26515.99,138070.0,26272.97,30009.46,1033.68727
2023-06-22,30009.0,31392.15,29800.0,30470.93,825.93286
2023-06-26,30449.56,30974.22,29890.0,30430.01,695.14603
2023-06-30,30430.01,31375.14,30034.0,31160.0,765.0672099999999
2023-07-04,31161.68,31380.0,29712.21,30360.58,804.08161
2023-07-08,30361.35,31030.52,30000.0,30626.01,610.27559
2023-07-12,30619.88,32000.0,29955.43,30288.46,1070.32387
2023-07-16,30294.99,30432.33,29667.69,29925.02,730.57593
2023-07-20,29944.72,30414.4,29566.71,30079.91,613.62348
2023-07-24,30079.91,30101.56,28865.83,29220.01,691.91864
2023-07-28,29234.69,29535.0,29045.16,29227.24,346.76749
2023-08-01,29238.43,30028.43,28589.26,29119.99,836.21857
2023-08-05,29119.98,30120.0,28705.0,29774.97,595.50683
2023-08-09,29774.99,30120.0,29250.0,29424.99,645.56335
2023-08-13,29415.06,29694.67,28720.69,28734.96,555.7826399999999
2023-08-17,28734.96,28780.0,25619.9,26186.42,979.35029
2023-08-21,26194.4,26815.0,25363.16,26175.01,661.7747899999999
2023-08-25,26181.05,26299.99,25790.0,26128.11,490.90595
2023-08-29,26127.11,28135.98,25355.12,25814.53,1196.87078
2023-09-02,25814.52,26119.05,25578.56,25780.4,457.16763000000003
2023-09-06,25784.75,26445.78,25373.4,25907.4,493.18572
2023-09-10,25903.2,26440.0,24900.0,26215.57,864.96485
2023-09-14,26224.27,26879.8,26146.2,26525.01,628.57793
2023-09-18,26525.01,27483.06,26342.0,26566.44,980.16927
2023-09-22,26573.55,26733.07,26002.79,26300.0,454.21667
2023-09-26,26300.0,27294.6,26095.0,26909.86,833.60032
2023-09-30,26902.97,28485.97,26886.09,27420.0,782.2299
2023-10-04,27420.99,28138.1,27069.93,27952.0,678.55157
2023-10-08,27952.0,28090.0,26542.08,26879.99,612.62962
2023-10-12,26879.99,27250.0,26555.82,27135.01,397.0749
2023-10-16,27141.12,28941.84,27087.8,28717.45,864.1085
2023-10-20,28718.45,33425.56,28616.92,32915.0,1101.00369
2023-10-24,32915.0,35100.0,32846.23,33870.0,1465.43929
2023-10-28,33870.0,34873.66,33818.82,34627.47,639.24711
2023-11-01,34627.2,35954.99,34100.0,35048.07,1018.4945299999999
2023-11-05,35038.73,35947.0,34524.98,35628.94,957.0473
2023-11-09,35628.93,37974.85,35550.0,37085.2,1230.6512400000001
2023-11-13,37085.19,37850.0,35200.0,36209.38,1231.1600799999999
2023-11-17,36197.88,37696.51,35868.57,37400.0,804.67298
2023-11-21,37400.01,38404.2,35735.33,37716.86,1201.3424
2023-11-25,37725.01,38222.0,36720.09,37823.4,645.87638
2023-11-29,37824.52,39699.95,37509.01,39453.91,883.2786
2023-12-03,39471.72,44482.83,39277.33,43779.58,1548.4591599999999
2023-12-07,43779.59,44700.01,42961.77,43788.74,768.17881
2023-12-11,43777.37,43820.0,40232.18,43031.93,1102.75084
2023-12-15,43021.33,43081.95,40533.7,42628.76,548.15549
2023-12-19,42640.13,44266.37,41818.34,43961.99,942.96565
2023-12-23,43936.56,43985.0,41788.0,42526.37,622.49478
2023-12-27,42505.16,43723.42,41296.35,42138.01,720.9005999999999
2023-12-31,42163.09,45889.62,42007.52,42823.2,1128.23548
2024-01-04,42860.53,44689.98,42620.55,43896.76,889.04265
2024-01-08,43898.58,48400.0,43289.84,46367.61,1637.53166
2024-01-12,46367.49,46508.24,41636.2,42532.82,959.56012
2024-01-16,42533.07,43554.13,40308.53,41694.1,856.24432
2024-01-20,41694.7,41876.92,38570.59,39885.18,634.30251
2024-01-24,39870.49,42193.81,39380.27,42103.0,309.34563
2024-01-28,42108.15,43800.0,41655.39,42600.0,314.27452999999997
2024-02-01,42570.25,43458.22,41911.49,42571.73,237.64168999999998
2024-02-05,42585.03,45577.35,42338.39,45313.39,300.19793000000004
2024-02-09,45313.16,50246.21,45257.34,49947.62,422.46244
2024-02-13,49931.8,52793.0,48204.6,52132.09,498.28155
