datetime,open,high,low,close,volume
2024-02-26,3114.12,3519.47,3039.15,3485.29,5189.78769
2024-03-04,3485.28,3984.67,3207.58,3883.04,7494.15433
2024-03-11,3883.88,4092.86,3418.63,3645.09,6431.29036
2024-03-18,3642.76,3642.76,3062.05,3455.92,5117.9858
2024-03-25,3451.88,3676.55,3416.13,3650.01,3350.2996
2024-04-01,3647.02,3650.11,3203.82,3450.59,2516.7527
2024-04-08,3450.59,3726.84,2870.41,3155.96,3998.2586
2024-04-15,3148.68,3277.84,2863.6,3144.32,1946.688
2024-04-22,3147.54,3350.0,3069.18,3261.69,1800.9328
2024-04-29,3261.11,3283.24,2817.59,3137.1,1787.7035
2024-05-06,3137.45,3219.0,2880.4,2933.07,1132.0613
2024-05-13,2929.95,3142.99,2864.0,3072.22,1168.8275
2024-05-20,3074.53,3945.9,3048.67,3828.23,6536.7904
2024-05-27,3827.41,3967.42,3704.39,3785.36,1855.7308
2024-06-03,3780.25,3885.55,3600.0,3711.62,2132.4168
2024-06-10,3707.82,3713.26,3363.98,3623.11,1702.6294
2024-06-17,3623.03,3637.95,3360.0,3419.71,1253.8299
2024-06-24,3421.21,3485.8,3244.79,3442.29,1146.7137
2024-07-01,3441.24,3522.86,2828.01,2935.84,1565.5537
2024-07-08,2936.13,3266.66,2828.82,3245.09,1254.2591
2024-07-15,3245.73,3546.42,3234.16,3534.72,1615.2967
2024-07-22,3537.77,3559.76,3100.0,3272.14,1749.7872
2024-07-29,3268.06,3395.36,2652.68,2697.33,1795.1083
2024-08-05,2697.2,2720.1,2184.69,2554.55,2774.8232
2024-08-12,2554.58,2778.99,2512.0,2612.44,1785.581
2024-08-19,2611.66,2819.4,2537.84,2747.35,1192.7592
2024-08-26,2747.36,2762.51,2401.1,2429.64,1156.9284
2024-09-02,2426.59,2563.0,2151.25,2295.18,1386.2033
2024-09-09,2297.36,2454.61,2274.75,2319.1,1805.5278
2024-09-16,2315.93,2631.4,2253.04,2582.93,2135.06
2024-09-23,2580.17,2725.69,2541.25,2657.77,1395.7839
2024-09-30,2657.74,2660.52,2316.52,2437.51,1230.975
2024-10-07,2437.52,2518.28,2332.21,2469.18,1042.6408
2024-10-14,2465.3,2750.0,2443.67,2743.06,1171.1489
2024-10-21,2744.3,2761.0,2384.0,2504.26,2560.7053
2024-10-28,2507.67,2720.9,2410.62,2454.71,2028.6696
2024-11-04,2455.13,3245.3,2361.02,3190.46,3210.3284
2024-11-11,3186.86,3438.68,2941.53,3073.01,4746.0627
2024-11-18,3074.9,3494.73,3031.8,3367.72,4146.6417
2024-11-25,3358.81,3743.99,3250.71,3705.48,3578.7516
2024-12-02,3709.09,4082.57,3505.5,4012.63,4132.3755
2024-12-09,4004.44,4004.44,3474.2,3958.58,3029.6146
2024-12-16,3958.58,4100.0,3105.68,3276.8,3626.3324
2024-12-23,3288.39,3545.14,3220.0,3355.38,1249.8144
2024-12-30,3355.61,3675.0,3306.52,3636.34,1165.4572
2025-01-06,3638.58,3741.9,3174.36,3267.8,1228.6811
2025-01-13,3268.92,3525.37,2931.0,3220.82,2811.2138
2025-01-20,3219.64,3450.0,3150.0,3231.44,1570.3019
2025-01-27,3231.07,3427.58,2779.96,2863.7,1709.1147
2025-02-03,2869.69,2917.71,2180.88,2629.27,2267.4368
2025-02-10,2629.74,2792.81,2548.84,2659.08,1351.1044
2025-02-17,2662.04,2852.5,2609.12,2820.79,2480.5722
2025-02-24,2825.72,2834.15,2080.58,2520.75,2845.403
2025-03-03,2520.66,2523.55,1950.0,2015.68,3455.2922
2025-03-10,2017.32,2151.77,1758.52,1886.76,3587.9185
2025-03-17,1887.18,2064.34,1860.0,2003.96,2821.2972
2025-03-24,2003.96,2101.65,1769.96,1804.35,3627.1987
2025-03-31,1808.69,1952.76,1540.52,1577.55,4497.8372
2025-04-07,1577.02,1685.09,1386.53,1598.57,3898.1179
2025-04-14,1600.35,1690.09,1541.0,1585.7,836.9502
2025-04-21,1588.61,1855.69,1540.27,1794.69,1621.2816
