datetime,open,high,low,close,volume
2023-05-03,1870.46,2018.0,1842.9,1896.78,34070.427299999996
2023-05-07,1896.78,1933.51,1793.25,1840.0,26848.826
2023-05-11,1841.19,1841.7,1739.7,1799.78,8188.589
2023-05-15,1798.77,1846.8,1771.53,1800.44,11674.519499999999
2023-05-19,1800.78,1829.32,1792.0,1817.31,8857.0328
2023-05-23,1817.06,1871.76,1761.94,1827.93,25672.9158
2023-05-27,1827.85,1927.84,1812.14,1900.5,19072.853600000002
2023-05-31,1900.94,1910.33,1839.97,1891.74,25809.3104
2023-06-04,1892.1,1914.07,1778.37,1823.9,25322.289399999998
2023-06-08,1823.76,1859.31,1717.83,1747.55,6649.5931
2023-06-12,1747.6,1761.39,1628.73,1666.43,4830.9144
2023-06-16,1667.4,1760.54,1650.78,1737.37,2411.6546
2023-06-20,1737.34,1932.97,1715.2,1890.88,6042.3056
2023-06-24,1892.58,1926.92,1838.24,1889.8,3299.7657
2023-06-28,1890.0,1946.95,1825.19,1923.17,3644.3812000000003
2023-07-02,1924.98,1975.0,1890.19,1911.72,3586.5808
2023-07-06,1911.58,1953.96,1834.34,1864.0,3501.9671
2023-07-10,1862.51,2012.71,1850.0,2000.52,3819.7922
2023-07-14,2002.96,2024.41,1874.17,1912.29,4719.5364
2023-07-18,1912.71,1928.51,1878.66,1892.77,4040.5784
2023-07-22,1891.46,1903.88,1835.11,1857.14,2075.1347
2023-07-26,1857.14,1887.0,1848.81,1880.02,2033.9234000000001
2023-07-30,1880.11,1884.5,1813.1,1839.5,2397.3085
2023-08-03,1839.31,1858.82,1817.78,1829.92,1261.9596
2023-08-07,1830.47,1874.73,1802.08,1853.38,1680.8937
2023-08-11,1853.27,1861.54,1834.04,1844.59,1150.7323000000001
2023-08-15,1845.7,1848.09,1635.02,1661.94,3625.6352
2023-08-19,1662.13,1695.53,1591.0,1634.29,1994.2706
2023-08-23,1635.62,1700.63,1629.28,1647.7,1871.2877
2023-08-27,1646.55,1745.7,1626.06,1705.67,1753.8695
2023-08-31,1705.15,1726.1,1603.27,1635.28,1447.1429
2023-09-04,1636.49,1666.81,1610.68,1648.71,1331.5002
2023-09-08,1648.76,1658.2,1532.45,1552.13,1420.7818
