datetime,open,high,low,close,volume
2025-12-08 23:00:00,13.76,13.76,13.76,13.76,0.54
2025-12-09 00:00:00,13.78,13.84,13.69,13.69,91.13
2025-12-09 01:00:00,13.72,13.73,13.68,13.68,15.08
2025-12-09 02:00:00,13.64,13.67,13.64,13.67,43.13
2025-12-09 03:00:00,13.62,13.68,13.56,13.68,5.74
2025-12-09 04:00:00,13.72,13.72,13.6,13.6,1.28
2025-12-09 05:00:00,13.64,13.68,13.64,13.68,3.29
2025-12-09 06:00:00,13.68,13.68,13.65,13.65,7.47
2025-12-09 07:00:00,13.76,13.76,13.76,13.76,0.54
2025-12-09 08:00:00,13.85,13.85,13.85,13.85,0.5
2025-12-09 09:00:00,13.77,13.77,13.76,13.76,9.43
2025-12-09 10:00:00,13.68,13.68,13.68,13.68,0.54
2025-12-09 11:00:00,13.72,13.72,13.72,13.72,5.68
2025-12-09 12:00:00,13.76,13.76,13.76,13.76,0.54
2025-12-09 13:00:00,13.82,13.82,13.68,13.71,8.33
2025-12-09 14:00:00,13.75,13.75,13.7,13.73,44.9
2025-12-09 15:00:00,13.76,14.43,13.76,14.43,288.31
2025-12-09 16:00:00,14.44,14.86,14.44,14.86,331.97
2025-12-09 17:00:00,14.86,14.99,14.77,14.86,168.26
2025-12-09 18:00:00,14.83,14.87,14.74,14.74,52.14
2025-12-09 19:00:00,14.71,14.71,14.64,14.64,5.53
2025-12-09 20:00:00,14.63,14.63,14.41,14.49,118.14
2025-12-09 21:00:00,14.38,14.38,14.25,14.36,32.07
2025-12-09 22:00:00,14.42,14.53,14.42,14.53,1.87
2025-12-09 23:00:00,14.47,14.47,14.44,14.44,123.98
2025-12-10 00:00:00,14.37,14.43,14.33,14.34,16.15
2025-12-10 01:00:00,14.35,14.35,14.26,14.27,76.58
2025-12-10 02:00:00,14.31,14.31,14.25,14.25,3.42
2025-12-10 03:00:00,14.25,14.25,14.25,14.25,0.0
2025-12-10 04:00:00,14.22,14.23,14.19,14.23,23.33
2025-12-10 05:00:00,14.18,14.18,14.18,14.18,0.52
2025-12-10 06:00:00,14.18,14.18,14.18,14.18,0.0
2025-12-10 07:00:00,14.16,14.16,14.13,14.13,30.22
2025-12-10 08:00:00,14.18,14.18,14.17,14.17,4.07
