datetime,open,high,low,close,volume
2023-05-03,6.952,7.273,6.821,6.91,22278.42
2023-05-07,6.924,6.985,6.34,6.592,38178.600000000006
2023-05-11,6.563,6.635,6.253,6.54,18914.08
2023-05-15,6.547,6.801,6.435,6.55,35030.71
2023-05-19,6.537,6.602,6.34,6.523,8002.24
2023-05-23,6.536,6.626,6.169,6.346,8753.65
2023-05-27,6.365,6.672,6.335,6.602,7830.1
2023-05-31,6.601,6.63,6.31,6.407,11759.92
2023-06-04,6.422,6.53,5.776,5.872,61919.46
2023-06-08,5.86,6.042,4.966,5.147,82044.65
2023-06-12,5.138,5.482,4.999,5.294,71594.74
2023-06-16,5.27,5.394,5.014,5.123,34764.240000000005
2023-06-20,5.154,6.152,4.999,6.042,69447.62
2023-06-24,6.042,6.37,5.927,6.177,47379.270000000004
2023-06-28,6.178,6.514,5.75,6.492,69408.57
2023-07-02,6.509,6.691,6.213,6.289,70073.11
2023-07-06,6.274,6.493,6.036,6.12,57543.22
2023-07-10,6.143,7.035,6.031,7.034,70158.31
2023-07-14,7.034,7.316,6.462,7.162,80381.8
2023-07-18,7.182,8.81,6.775,8.148,152556.14
2023-07-22,8.121,8.343,7.351,7.401,62215.2
2023-07-26,7.393,8.097,7.279,7.852,44586.229999999996
2023-07-30,7.849,7.849,7.342,7.353,39048.14
2023-08-03,7.34,7.387,7.026,7.106,25763.68
2023-08-07,7.103,7.906,6.955,7.609,42492.84
2023-08-11,7.631,7.641,7.315,7.447,30354.54
2023-08-15,7.413,7.436,6.083,6.164,52440.66
2023-08-19,6.169,6.255,5.885,6.104,22954.510000000002
2023-08-23,6.13,6.427,5.924,6.002,24992.37
2023-08-27,6.01,6.321,5.855,5.934,15721.03
2023-08-31,5.927,6.051,5.738,6.029,19181.78
2023-09-04,6.031,6.459,5.909,6.388,28839.760000000002
2023-09-08,6.373,6.392,5.746,5.816,20128.15
2023-09-12,5.828,6.369,5.813,6.361,36320.07
2023-09-16,6.362,6.961,5.935,6.837,67212.93
2023-09-20,6.843,7.22,6.599,7.18,37957.9
2023-09-24,7.224,7.863,6.917,7.669,44482.61
2023-09-28,7.623,8.264,7.574,8.05,61853.649999999994
2023-10-02,8.058,8.097,7.264,7.47,63242.33
2023-10-06,7.479,7.932,6.791,7.269,32939.06
2023-10-10,7.269,8.0,6.78,7.249,37758.97
2023-10-14,7.254,7.78,7.225,7.336,30239.86
2023-10-18,7.312,9.137,7.249,8.912,40990.44
2023-10-22,8.864,11.682,8.851,11.05,188084.37
2023-10-26,11.036,11.646,10.373,11.082,68413.28
2023-10-30,11.123,11.99,10.665,10.997,86773.86
2023-11-03,10.966,13.24,10.517,12.992,117909.76000000001
2023-11-07,12.984,15.972,12.543,15.518,207607.87
2023-11-11,15.568,16.587,13.5,13.953,158078.33
2023-11-15,13.963,15.368,12.0,13.735,114995.06
2023-11-19,13.735,15.38,13.3,14.207,86982.1
2023-11-23,14.197,15.28,14.136,14.791,33648.19
2023-11-27,14.756,15.283,13.787,14.415,52282.17
2023-12-01,14.419,16.349,14.287,15.797,86153.66
2023-12-05,15.798,17.302,14.679,16.894,151311.09
2023-12-09,16.978,17.284,14.177,14.504,105681.31
2023-12-13,14.557,15.56,13.882,14.306,100545.96
2023-12-17,14.351,14.789,13.55,14.238,52119.36
2023-12-21,14.195,15.947,14.189,15.303,70610.73999999999
2023-12-25,15.266,17.653,14.5,16.022,96246.47
2023-12-29,16.042,16.208,14.711,15.506,63440.05
2024-01-02,15.506,16.05,13.016,14.072,64582.92
2024-01-06,14.077,14.392,12.546,13.706,46782.990000000005
2024-01-10,13.732,15.529,13.568,14.324,82732.7
2024-01-14,14.385,16.368,14.277,15.744,68690.9
2024-01-18,15.728,16.531,14.233,15.391,43824.8
2024-01-22,15.442,15.947,13.522,13.778,31535.84
2024-01-26,13.748,15.041,13.638,14.984,15750.9
2024-01-30,15.01,18.9,14.903,17.809,124939.53
2024-02-03,17.816,19.741,17.521,18.284,93474.95
2024-02-07,18.284,19.252,17.971,19.068,45057.2
2024-02-11,19.069,20.825,18.856,20.252,85144.0
2024-02-15,20.296,20.487,18.8,20.094,62719.149999999994
2024-02-19,20.067,20.175,18.027,18.155,44763.11
2024-02-23,18.155,19.22,17.632,19.097,23882.52
2024-02-27,19.081,20.636,18.383,20.051,96280.37000000001
2024-03-02,20.027,21.65,17.685,18.984,93300.17
2024-03-06,18.984,20.389,18.499,19.982,61477.53
2024-03-10,19.956,22.735,19.418,20.758,98345.37
2024-03-14,20.757,21.943,17.41,18.667,97474.4
2024-03-18,18.646,19.484,16.269,18.426,71131.75
2024-03-22,18.465,19.516,17.349,19.375,49747.509999999995
2024-03-26,19.362,20.718,18.722,18.958,27717.839999999997
2024-03-30,18.96,19.334,17.396,17.951,24404.170000000002
2024-04-03,17.934,18.317,16.853,17.573,14015.99
2024-04-07,17.571,18.66,16.822,17.427,18868.76
2024-04-11,17.373,17.848,11.957,14.188,37721.380000000005
2024-04-15,14.066,14.655,12.739,13.901,30571.7
2024-04-19,13.87,16.027,12.758,15.446,23455.84
2024-04-23,15.431,15.618,14.358,14.461,10456.96
2024-04-27,14.487,14.527,12.794,13.145,10309.220000000001
2024-05-01,13.117,14.462,12.422,14.307,22216.51
2024-05-05,14.314,15.153,13.706,13.859,11945.6
2024-05-09,13.904,14.361,13.307,13.518,18167.89
2024-05-13,13.596,15.85,12.848,15.518,26289.559999999998
2024-05-17,15.534,17.45,15.499,17.265,31999.98
2024-05-21,17.253,17.766,15.434,17.256,24296.39
2024-05-25,17.256,18.849,16.896,18.537,16599.66
2024-05-29,18.558,19.22,16.592,18.407,19316.54
2024-06-02,18.398,18.791,17.1,17.712,10744.17
2024-06-06,17.712,17.759,15.57,16.364,11529.86
2024-06-10,16.376,16.376,14.603,15.158,13845.51
2024-06-14,15.183,15.451,14.04,14.526,20069.34
2024-06-18,14.568,14.838,12.581,13.854,35854.82
2024-06-22,13.858,14.775,12.771,14.176,17839.37
2024-06-26,14.214,14.588,13.5,13.515,20983.7
2024-06-30,13.512,14.751,13.434,13.596,31373.47
2024-07-04,13.582,13.718,11.082,12.359,27195.91
2024-07-08,12.372,13.515,11.792,12.362,32322.559999999998
2024-07-12,12.349,14.466,12.237,14.41,21364.5
2024-07-16,14.408,14.584,13.328,14.046,29350.71
2024-07-20,14.083,15.025,13.512,13.912,11204.9
2024-07-24,13.924,13.939,12.49,13.56,11935.380000000001
2024-07-28,13.539,13.888,12.794,12.846,6428.709999999999
2024-08-01,12.88,13.059,10.529,10.885,15242.849999999999
2024-08-05,10.912,10.968,8.169,10.747,29266.5
2024-08-09,10.731,10.838,9.703,10.504,7585.139999999999
2024-08-13,10.548,10.704,9.927,10.132,8612.68
2024-08-17,10.13,10.533,9.965,10.247,5227.58
2024-08-21,10.273,12.546,10.163,12.32,7277.45
2024-08-25,12.299,12.652,10.905,11.212,12817.76
2024-08-29,11.188,11.449,10.235,10.349,4461.97
2024-09-02,10.334,10.855,9.84,10.01,5598.35
2024-09-06,10.01,10.77,9.32,10.58,11178.45
2024-09-10,10.54,11.54,10.19,11.44,5892.74
2024-09-14,11.45,11.45,10.43,10.57,6686.61
2024-09-18,10.61,11.71,10.31,11.49,7922.1
2024-09-22,11.52,12.53,10.87,12.08,9044.25
2024-09-26,12.12,12.97,11.89,12.49,17011.93
2024-09-30,12.44,12.47,10.34,10.62,13696.79
2024-10-04,10.65,11.7,10.62,11.18,3574.65
2024-10-08,11.18,11.26,10.27,10.94,5151.54
2024-10-12,10.91,11.63,10.5,11.41,8547.1
2024-10-16,11.44,11.58,10.87,11.43,7130.33
2024-10-20,11.41,12.31,9.0,11.33,18289.09
2024-10-24,11.31,12.07,10.82,11.0,8114.66
2024-10-28,10.97,12.45,10.11,11.43,20811.489999999998
2024-11-01,11.42,11.71,10.08,10.24,9623.33
2024-11-05,10.29,13.75,10.19,13.7,27197.5
2024-11-09,13.67,15.36,13.26,13.97,45020.93
2024-11-13,13.94,14.79,12.62,14.51,39734.68
2024-11-17,14.54,16.0,13.59,14.23,32255.010000000002
2024-11-21,14.22,18.38,13.53,17.91,61821.57
2024-11-25,17.92,19.01,15.99,17.97,58636.649999999994
2024-11-29,17.93,26.84,17.56,25.25,105919.21
2024-12-03,25.22,26.42,22.6,25.72,73003.68000000001
2024-12-07,25.67,27.37,19.8,22.15,74979.68
2024-12-11,22.13,31.0,19.75,29.13,91496.31
2024-12-15,29.12,30.81,24.74,24.91,45407.82
2024-12-19,24.84,25.58,20.06,22.1,50449.72
2024-12-23,22.11,25.96,21.53,22.7,36858.96
2024-12-27,22.71,23.68,20.11,20.56,14851.560000000001
2024-12-31,20.59,23.88,19.71,23.38,18634.95
2025-01-04,23.48,24.61,21.22,21.39,23690.649999999998
2025-01-08,21.38,21.7,19.27,20.18,20081.1
2025-01-12,20.23,22.16,17.89,22.14,26541.66
2025-01-16,22.09,26.67,21.32,24.24,43043.85
2025-01-20,24.39,27.18,23.43,25.57,41251.32
2025-01-24,25.69,26.39,22.22,24.19,21871.58
2025-01-28,24.22,26.27,22.38,25.14,19283.35
2025-02-01,25.21,25.93,15.61,20.1,40219.600000000006
2025-02-05,20.04,20.23,17.84,18.45,9665.91
2025-02-09,18.46,20.45,17.47,19.13,14517.21
2025-02-13,19.16,19.83,18.2,18.67,14368.949999999999
2025-02-17,18.73,19.76,17.34,18.35,23276.530000000002
2025-02-21,18.3,19.03,15.03,15.26,15745.01
2025-02-25,15.36,15.76,13.47,14.85,21687.629999999997
2025-03-01,14.8,17.49,13.1,14.9,21029.08
2025-03-05,14.89,17.64,14.65,15.21,31620.64
2025-03-09,15.27,15.35,11.88,13.47,42916.77
2025-03-13,13.45,14.69,12.73,13.36,44734.25
2025-03-17,13.38,15.16,13.36,14.18,21200.0
2025-03-21,14.24,15.37,13.87,15.07,3362.4300000000003
2025-03-25,15.09,15.97,14.03,14.25,26240.49
