datetime,open,high,low,close,volume
2023-04-07,20.59,20.76,20.24,20.45,5450.05
2023-04-08,20.44,20.72,19.87,20.04,4695.42
2023-04-09,20.06,20.42,19.89,20.28,2283.34
2023-04-10,20.3,20.95,20.09,20.84,5515.8
2023-04-11,20.84,23.67,20.82,22.99,46443.02
2023-04-12,23.01,24.44,22.31,23.78,60945.26
2023-04-13,23.84,25.26,23.64,24.44,31426.55
2023-04-14,24.41,25.4831,23.76,24.75,52559.18
2023-04-15,24.71,24.79,23.82,24.06,14909.43
2023-04-16,24.07,25.47,23.83,25.34,18991.59
2023-04-17,25.38,26.0,24.33,24.54,65248.09
2023-04-18,24.59,25.43,24.01,24.86,25586.49
2023-04-19,24.82,24.97,21.75,22.67,58567.54
2023-04-20,22.6,23.16,21.6,22.19,43173.9
2023-04-21,22.18,22.4,20.95,21.27,40394.27
2023-04-22,21.26,21.99,21.07,21.8,6628.15
2023-04-23,21.75,22.24,21.01,21.51,10938.72
2023-04-24,21.46,21.99,21.03,21.39,9567.03
2023-04-25,21.4,21.95,20.75,21.94,9812.36
2023-04-26,21.95,22.95,20.38,21.24,30245.29
2023-04-27,21.24,22.5,21.21,22.35,15747.81
2023-04-28,22.36,23.49,22.19,23.36,17286.44
2023-04-29,23.38,23.88,22.94,23.2,23337.53
2023-04-30,23.17,23.98,22.7,22.72,12993.74
2023-05-01,22.74,22.88,21.54,21.97,15544.54
2023-05-02,21.9,22.36,21.75,22.24,6742.8
2023-05-03,22.28,22.28,21.25,22.25,22761.25
2023-05-04,22.27,22.46,21.63,21.71,10953.75
2023-05-05,21.74,23.06,21.62,22.77,21670.27
2023-05-06,22.83,23.23,21.58,21.92,17515.25
2023-05-07,21.91,22.76,21.64,21.66,19002.3
2023-05-08,21.64,21.8,20.14,20.64,40482.46
2023-05-09,20.6,21.01,20.43,20.69,5871.01
2023-05-10,20.63,21.3,19.98,20.91,16050.47
2023-05-11,20.91,20.91,19.76,20.25,12941.86
2023-05-12,20.16,20.94,19.85,20.91,6655.39
2023-05-13,20.95,21.28,20.78,20.84,3865.56
2023-05-14,20.83,21.24,20.63,20.92,3546.48
2023-05-15,20.9,21.51,20.61,21.01,8295.13
2023-05-16,20.99,21.1,20.45,20.64,10103.03
2023-05-17,20.65,21.19,20.46,21.05,6374.85
2023-05-18,21.08,21.09,20.13,20.34,6071.14
2023-05-19,20.33,20.58,20.23,20.34,4608.91
2023-05-20,20.31,20.34,20.11,20.29,11078.95
2023-05-21,20.27,20.38,19.36,19.62,5580.25
2023-05-22,19.6,20.02,19.3,19.51,8001.37
2023-05-23,19.51,20.17,19.43,20.01,5313.06
2023-05-24,20.03,20.04,18.72,19.22,8970.51
2023-05-25,19.24,19.56,18.78,19.27,4063.99
2023-05-26,19.22,19.54,19.1,19.37,1849.39
2023-05-27,19.38,20.52,19.34,20.41,5874.4
2023-05-28,20.39,21.18,20.3,20.8,20211.66
2023-05-29,20.83,20.98,20.28,20.64,5499.16
2023-05-30,20.59,21.39,20.5,21.27,15908.37
2023-05-31,21.2,21.32,20.39,20.8,6915.94
2023-06-01,20.83,20.98,20.42,20.52,3809.03
2023-06-02,20.51,21.36,20.32,21.25,6775.32
2023-06-03,21.24,21.33,20.98,21.19,1357.03
2023-06-04,21.19,22.3,21.04,21.79,9683.03
2023-06-05,21.83,22.04,19.22,20.07,31082.71
2023-06-06,19.98,20.69,19.24,20.39,20183.38
2023-06-07,20.39,20.51,18.31,18.47,44688.64
2023-06-08,18.49,19.09,17.74,18.86,22640.82
2023-06-09,18.87,19.31,14.24,17.26,27232.07
2023-06-10,17.35,17.36,12.02,15.63,34989.71
2023-06-11,15.63,16.16,15.14,15.48,9665.29
2023-06-12,15.44,15.65,14.77,15.15,24965.47
2023-06-13,15.15,15.85,14.75,14.99,16565.47
2023-06-14,14.99,15.33,14.15,14.46,9931.47
2023-06-15,14.42,15.04,14.02,14.76,39860.93
2023-06-16,14.81,15.47,14.39,15.31,11103.09
2023-06-17,15.27,16.12,15.18,15.64,9025.85
2023-06-18,15.63,15.81,15.18,15.38,9281.12
2023-06-19,15.41,16.12,15.34,16.06,8240.56
2023-06-20,16.08,16.71,15.72,16.64,22662.52
2023-06-21,16.64,17.38,16.58,17.21,25711.09
2023-06-22,17.27,17.72,16.58,16.64,37594.63
2023-06-23,16.69,17.51,16.21,17.11,16476.72
2023-06-24,17.07,17.49,16.45,16.68,15768.55
2023-06-25,16.64,17.36,16.58,16.95,11899.69
2023-06-26,16.88,17.09,15.94,16.26,11128.72
2023-06-27,16.26,16.92,16.14,16.6,13931.92
2023-06-28,16.62,16.62,15.72,16.0,10459.99
2023-06-29,15.94,18.22,15.88,18.01,34313.16
2023-06-30,18.04,19.75,17.28,18.91,49557.89
2023-07-01,18.87,19.43,17.93,18.7,13916.47
2023-07-02,18.67,19.74,18.56,19.44,16242.69
2023-07-03,19.44,19.62,18.95,19.23,11381.75
2023-07-04,19.25,19.85,19.09,19.14,11543.11
2023-07-05,19.13,19.37,18.47,18.99,13841.54
2023-07-06,18.98,20.95,18.87,19.63,49484.46
2023-07-07,19.63,21.73,19.3,21.47,36623.68
2023-07-08,21.51,22.45,21.35,21.85,13556.62
2023-07-09,21.78,22.35,21.04,21.38,18796.64
2023-07-10,21.4,21.77,20.55,21.34,20909.43
2023-07-11,21.35,22.32,21.25,22.09,12095.36
2023-07-12,22.04,22.72,21.78,21.97,22092.96
2023-07-13,21.95,26.75,21.48,25.92,56288.22
2023-07-14,25.88,29.89,25.29,26.69,60624.09
2023-07-15,26.69,29.06,26.54,27.36,25112.38
2023-07-16,27.41,28.64,26.55,27.39,13835.53
2023-07-17,27.43,28.47,25.91,26.85,22826.1
2023-07-18,26.82,27.05,24.71,25.57,25984.63
2023-07-19,25.51,26.95,25.36,26.33,16800.57
2023-07-20,26.3,27.35,25.15,25.33,18294.68
2023-07-21,25.34,25.99,25.11,25.52,7041.6
2023-07-22,25.52,25.94,24.28,24.55,8964.66
2023-07-23,24.46,25.22,24.18,24.75,5600.62
2023-07-24,24.75,24.77,22.93,23.34,22952.7
2023-07-25,23.33,23.58,23.12,23.22,5221.62
2023-07-26,23.25,25.7,23.22,25.19,17380.64
2023-07-27,25.18,25.61,24.69,25.08,15366.74
2023-07-28,25.06,25.52,24.58,24.84,11293.47
2023-07-29,24.83,25.35,24.78,25.17,16524.64
2023-07-30,25.23,25.23,23.72,24.27,14921.07
2023-07-31,24.24,24.78,23.59,23.75,10127.17
2023-08-01,23.72,23.97,22.89,23.95,11050.65
2023-08-02,23.96,24.22,22.89,23.15,11908.42
2023-08-03,23.16,23.35,22.21,22.66,13508.26
2023-08-04,22.65,23.53,22.51,22.85,8374.22
2023-08-05,22.8,22.92,22.27,22.64,6020.15
2023-08-06,22.65,23.44,22.61,23.21,9059.35
2023-08-07,23.21,23.64,22.38,23.08,5721.24
2023-08-08,23.09,24.73,23.05,24.19,21153.25
2023-08-09,24.23,24.97,24.11,24.42,7788.81
2023-08-10,24.42,24.85,24.16,24.61,2853.24
2023-08-11,24.65,24.9,24.35,24.59,7381.17
2023-08-12,24.6,25.2,24.44,24.89,6173.16
2023-08-13,24.87,24.91,24.25,24.26,8071.1
2023-08-14,24.25,25.27,24.1,25.19,9556.79
2023-08-15,25.19,25.27,23.73,23.94,13575.08
2023-08-16,23.93,24.03,22.42,22.85,12136.59
2023-08-17,22.8,23.42,20.51,21.69,33619.6
2023-08-18,21.68,22.16,20.93,21.3,11401.63
2023-08-19,21.39,22.15,21.35,21.88,2613.77
2023-08-20,21.88,22.0,21.6,21.78,1897.6
2023-08-21,21.78,21.78,20.64,21.24,8137.36
2023-08-22,21.22,21.27,19.46,20.59,10812.62
2023-08-23,20.56,21.79,20.41,21.71,11788.17
2023-08-24,21.72,21.98,20.71,21.02,9117.54
2023-08-25,20.98,20.98,20.13,20.41,5326.5
2023-08-26,20.36,20.42,20.21,20.28,1889.87
2023-08-27,20.28,20.89,20.26,20.81,4581.02
2023-08-28,20.77,20.77,20.06,20.55,4968.33
2023-08-29,20.6,22.02,20.13,21.73,7709.74
2023-08-30,21.83,21.95,20.64,20.84,4287.46
2023-08-31,20.75,21.04,19.46,19.75,8630.87
2023-09-01,19.72,19.93,19.04,19.37,4411.42
2023-09-02,19.34,19.66,19.15,19.49,2113.02
2023-09-03,19.49,19.63,19.27,19.6,4112.65
2023-09-04,19.59,20.0,19.16,19.51,7813.51
2023-09-05,19.5,20.57,19.06,20.29,11721.71
2023-09-06,20.29,20.37,19.17,19.62,8901.54
2023-09-07,19.6,19.99,19.34,19.9,4237.82
2023-09-08,19.86,20.26,19.39,19.61,3741.56
2023-09-09,19.62,19.62,19.4,19.46,1317.71
2023-09-10,19.42,19.42,17.81,18.26,20372.95
2023-09-11,18.24,18.42,17.37,17.73,15604.99
2023-09-12,17.72,18.75,17.59,17.91,7969.35
2023-09-13,17.92,18.54,17.73,18.4,6181.08
2023-09-14,18.41,19.31,18.41,18.82,7618.38
2023-09-15,18.83,19.48,18.57,19.15,6579.84
2023-09-16,19.16,19.43,18.89,19.13,8699.43
2023-09-17,19.14,19.14,18.67,18.77,2101.25
2023-09-18,18.81,20.13,18.56,19.66,20262.53
2023-09-19,19.66,20.36,19.61,20.01,7852.32
2023-09-20,20.08,20.5,19.82,20.32,4901.3
2023-09-21,20.24,20.26,19.3,19.46,7908.29
2023-09-22,19.43,19.76,19.13,19.44,5585.02
2023-09-23,19.47,19.55,19.28,19.44,1162.99
2023-09-24,19.48,19.65,19.21,19.35,3323.34
2023-09-25,19.33,19.71,19.12,19.38,4987.89
2023-09-26,19.39,19.5,18.94,19.04,3969.69
2023-09-27,19.04,19.45,18.75,19.08,7392.94
2023-09-28,19.08,19.94,19.08,19.94,7247.01
2023-09-29,19.94,20.44,19.86,20.26,6832.36
2023-09-30,20.26,21.69,20.11,21.38,8516.61
2023-10-01,21.37,24.29,21.13,23.81,40066.42
2023-10-02,23.88,24.58,22.93,23.32,21978.98
2023-10-03,23.32,24.69,23.31,23.53,19860.47
2023-10-04,23.6,23.74,22.61,23.15,9136.43
2023-10-05,23.08,23.71,22.58,22.68,6236.51
2023-10-06,22.72,23.7,22.72,23.37,6854.87
2023-10-07,23.4,24.01,23.1,23.25,5762.96
2023-10-08,23.26,23.62,23.08,23.18,3732.71
2023-10-09,23.19,23.35,21.8,22.13,7830.99
2023-10-10,22.13,22.46,21.73,22.09,5787.27
2023-10-11,22.14,22.38,21.66,21.97,4435.57
2023-10-12,21.97,22.02,21.03,21.28,6953.12
2023-10-13,21.27,22.13,21.15,21.78,7032.47
2023-10-14,21.78,22.13,21.78,21.95,2966.13
2023-10-15,21.85,22.09,21.57,21.91,6974.01
2023-10-16,21.9,24.57,21.9,23.91,21421.78
2023-10-17,23.91,24.46,23.46,23.89,16623.54
2023-10-18,23.87,24.18,23.37,23.41,5488.33
2023-10-19,23.42,25.24,23.22,24.95,30944.66
2023-10-20,24.94,27.3,24.74,27.03,26296.17
2023-10-21,27.08,30.04,26.66,29.35,33377.47
2023-10-22,29.28,29.86,28.04,28.9,7590.1
2023-10-23,28.92,32.6,28.73,31.87,40227.09
2023-10-24,31.81,32.58,29.53,30.17,49915.07
2023-10-25,30.17,33.79,30.03,32.49,36025.59
2023-10-26,32.47,33.22,30.77,32.74,24272.15
2023-10-27,32.77,33.09,31.3,31.72,19836.55
2023-10-28,31.7,32.46,31.4,31.64,6006.01
2023-10-29,31.57,33.0,31.33,32.78,14520.81
2023-10-30,32.82,35.11,32.31,34.94,23858.19
2023-10-31,34.92,38.42,34.85,38.37,37191.33
2023-11-01,38.36,46.6,37.84,41.15,86383.57
2023-11-02,41.21,44.5,39.63,40.21,48032.08
2023-11-03,40.23,40.23,38.03,39.47,31054.38
2023-11-04,39.49,42.69,39.04,42.29,23599.82
2023-11-05,42.43,42.87,40.22,41.16,19183.32
2023-11-06,41.21,42.09,39.76,42.09,22336.15
2023-11-07,42.08,44.12,40.12,42.97,32719.54
2023-11-08,42.95,43.62,42.29,43.14,17670.19
2023-11-09,43.13,48.52,42.65,45.38,52574.21
