datetime,open,high,low,close,volume
2025-12-15 07:00:00,132.44,132.44,132.14,132.17,5.529
2025-12-15 08:00:00,132.39,132.39,132.39,132.39,0.188
2025-12-15 09:00:00,132.46,132.46,132.41,132.41,0.074
2025-12-15 10:00:00,132.63,132.63,132.38,132.59,1.548
2025-12-15 11:00:00,132.74,132.74,132.34,132.34,1.658
2025-12-15 12:00:00,132.31,133.04,131.72,132.7,20.551
2025-12-15 13:00:00,132.5,133.04,131.81,133.04,35.826
2025-12-15 14:00:00,132.77,135.26,129.68,130.85,169.192
2025-12-15 15:00:00,130.11,130.51,126.37,126.86,703.853
2025-12-15 16:00:00,126.68,127.07,125.64,126.38,31.344
2025-12-15 17:00:00,126.46,126.52,124.71,124.71,1228.961
2025-12-15 18:00:00,124.71,125.0,123.7,124.9,522.174
2025-12-15 19:00:00,124.75,125.84,124.68,125.04,546.51
2025-12-15 20:00:00,124.79,125.59,123.87,125.44,93.692
2025-12-15 21:00:00,125.37,126.34,125.02,125.82,731.507
2025-12-15 22:00:00,125.8,126.38,125.6,126.25,8.188
2025-12-15 23:00:00,126.4,127.73,126.4,127.66,28.471
2025-12-16 00:00:00,127.53,128.0,126.29,126.29,13.901
2025-12-16 01:00:00,126.43,126.7,125.59,126.42,9.009
2025-12-16 02:00:00,126.2,127.13,126.04,127.03,2.23
2025-12-16 03:00:00,126.35,126.35,125.0,126.29,25.361
2025-12-16 04:00:00,126.65,126.65,124.95,126.06,151.129
2025-12-16 05:00:00,126.29,126.36,126.13,126.26,15.738
2025-12-16 06:00:00,126.45,127.37,126.45,127.37,4.862
2025-12-16 07:00:00,127.39,127.39,125.62,125.62,95.783
2025-12-16 08:00:00,125.59,126.51,125.54,125.74,34.819
2025-12-16 09:00:00,126.15,126.22,126.15,126.22,1.38
2025-12-16 10:00:00,126.48,128.83,126.48,128.06,46.987
2025-12-16 11:00:00,128.31,128.93,128.05,128.93,189.221
2025-12-16 12:00:00,128.8,128.8,128.38,128.39,5.075
2025-12-16 13:00:00,128.52,129.65,126.83,126.83,59.091
2025-12-16 14:00:00,126.82,129.65,126.17,128.57,44.028
2025-12-16 15:00:00,128.65,130.03,127.48,130.03,16.7
2025-12-16 16:00:00,129.85,129.85,127.87,127.95,5.859
2025-12-16 17:00:00,128.2,128.46,127.36,127.49,32.441
2025-12-16 18:00:00,127.35,128.46,127.05,128.46,33.824
2025-12-16 19:00:00,127.89,127.89,126.88,127.87,237.705
2025-12-16 20:00:00,127.63,128.72,127.55,128.72,13.864
2025-12-16 21:00:00,128.49,128.74,128.17,128.66,191.671
2025-12-16 22:00:00,128.89,129.0,128.4,128.93,12.696
2025-12-16 23:00:00,128.36,129.34,128.3,129.34,64.478
2025-12-17 00:00:00,128.75,129.13,128.34,128.84,69.18
2025-12-17 01:00:00,129.1,129.65,128.89,129.0,107.587
2025-12-17 02:00:00,129.24,129.34,128.4,129.34,107.996
2025-12-17 03:00:00,129.61,129.61,128.2,128.2,7.539
2025-12-17 04:00:00,128.19,128.36,127.42,127.95,14.985
2025-12-17 05:00:00,127.8,127.8,127.12,127.5,13.998
2025-12-17 06:00:00,127.74,127.97,127.65,127.65,0.452
2025-12-17 07:00:00,127.68,127.96,127.68,127.79,25.429
2025-12-17 08:00:00,128.05,128.07,126.88,126.88,2.94
2025-12-17 09:00:00,126.96,126.96,126.03,126.53,27.362
2025-12-17 10:00:00,126.6,126.82,126.44,126.44,7.049
2025-12-17 11:00:00,126.62,127.81,126.62,127.58,23.714
2025-12-17 12:00:00,127.71,127.98,127.71,127.79,4.876
2025-12-17 13:00:00,128.13,129.34,127.81,129.31,13.323
2025-12-17 14:00:00,129.34,132.49,127.12,132.49,656.12
2025-12-17 15:00:00,132.61,134.3,126.72,126.72,942.878
2025-12-17 16:00:00,127.51,127.81,123.98,124.79,1205.578
2025-12-17 17:00:00,125.03,125.3,122.67,123.09,226.97
2025-12-17 18:00:00,123.35,123.83,122.0,122.16,239.732
2025-12-17 19:00:00,121.98,122.38,121.45,122.38,332.998
2025-12-17 20:00:00,122.49,123.65,122.17,122.91,43.329
2025-12-17 21:00:00,123.5,123.5,122.1,122.38,14.821
2025-12-17 22:00:00,122.25,123.49,122.25,123.49,45.536
2025-12-17 23:00:00,123.45,123.45,122.79,123.17,7.884
2025-12-18 00:00:00,123.36,123.82,122.98,123.63,53.826
2025-12-18 01:00:00,123.59,123.7,123.08,123.7,21.502
2025-12-18 02:00:00,123.35,124.07,123.35,123.82,20.158
2025-12-18 03:00:00,123.8,123.93,123.18,123.32,27.946
2025-12-18 04:00:00,123.83,124.05,123.58,123.64,73.871
2025-12-18 05:00:00,123.55,123.58,122.43,122.5,52.805
2025-12-18 06:00:00,122.36,122.86,122.34,122.71,33.485
2025-12-18 07:00:00,123.03,123.31,122.54,122.8,333.104
2025-12-18 08:00:00,122.62,123.31,122.54,123.13,4.959
2025-12-18 09:00:00,123.06,123.82,123.06,123.78,0.794
2025-12-18 10:00:00,123.6,124.07,123.6,123.81,6.751
2025-12-18 11:00:00,123.68,124.0,123.31,123.93,10.272
2025-12-18 12:00:00,124.05,124.49,123.77,123.95,32.376
2025-12-18 13:00:00,124.26,126.73,124.26,126.48,362.227
2025-12-18 14:00:00,126.75,127.81,124.88,125.89,475.875
2025-12-18 15:00:00,126.06,128.95,125.89,127.41,362.264
2025-12-18 16:00:00,127.13,127.35,126.29,126.98,15.212
