datetime,open,high,low,close,volume
2025-12-19 17:00:00,1.8907,1.9085,1.8907,1.9085,13102.5
2025-12-19 17:15:00,1.9082,1.9084,1.8932,1.8932,1294.4
2025-12-19 17:30:00,1.8921,1.8927,1.8769,1.8799,6839.5
2025-12-19 17:45:00,1.8767,1.8767,1.8739,1.8739,58.6
2025-12-19 18:00:00,1.8758,1.8804,1.8758,1.8804,418.4
2025-12-19 18:15:00,1.8857,1.892,1.8857,1.892,72.9
2025-12-19 18:30:00,1.8898,1.8905,1.8871,1.8871,82.1
2025-12-19 18:45:00,1.8932,1.8985,1.8932,1.8985,2938.0
2025-12-19 19:00:00,1.8965,1.9025,1.8965,1.9025,1592.6
2025-12-19 19:15:00,1.8999,1.9114,1.8999,1.9114,36276.8
2025-12-19 19:30:00,1.9115,1.9194,1.9114,1.9192,1245.0
2025-12-19 19:45:00,1.9167,1.9177,1.9099,1.9099,4507.9
2025-12-19 20:00:00,1.9086,1.9107,1.9079,1.9079,8055.2
2025-12-19 20:15:00,1.9157,1.9183,1.9157,1.9183,166.1
2025-12-19 20:30:00,1.9111,1.9178,1.9111,1.9178,741.1
2025-12-19 20:45:00,1.9111,1.9176,1.905,1.9083,3307.6
2025-12-19 21:00:00,1.9083,1.9083,1.9073,1.9081,217.7
2025-12-19 21:15:00,1.9072,1.9104,1.9072,1.9086,65.7
2025-12-19 21:30:00,1.9058,1.9058,1.9058,1.9058,378.4
2025-12-19 21:45:00,1.9041,1.9041,1.9019,1.9039,1876.7
2025-12-19 22:00:00,1.9071,1.9078,1.9016,1.9016,18807.8
2025-12-19 22:15:00,1.9041,1.9065,1.9041,1.9053,43.1
2025-12-19 22:30:00,1.9083,1.9104,1.9073,1.9104,129.1
2025-12-19 22:45:00,1.911,1.911,1.9104,1.9104,151.6
2025-12-19 23:00:00,1.9056,1.9056,1.9032,1.9032,141.5
2025-12-19 23:15:00,1.9057,1.9057,1.9057,1.9057,139.5
2025-12-19 23:30:00,1.9057,1.9057,1.9057,1.9057,0.0
2025-12-19 23:45:00,1.9057,1.9062,1.9057,1.9062,532.3
2025-12-20 00:00:00,1.9084,1.9084,1.9021,1.9025,164.6
2025-12-20 00:15:00,1.9064,1.9089,1.9049,1.9089,801.0
2025-12-20 00:30:00,1.9077,1.9077,1.9048,1.9048,392.9
2025-12-20 00:45:00,1.9044,1.9073,1.9032,1.9073,293.0
2025-12-20 01:00:00,1.9078,1.9078,1.9038,1.904,77.5
2025-12-20 01:15:00,1.9038,1.9038,1.9024,1.9034,109.4
2025-12-20 01:30:00,1.9035,1.9047,1.9028,1.9028,360.1
2025-12-20 01:45:00,1.9029,1.9031,1.9022,1.9031,113.7
2025-12-20 02:00:00,1.9022,1.9022,1.8984,1.8989,299.6
2025-12-20 02:15:00,1.9,1.9024,1.89,1.8938,48395.2
2025-12-20 02:30:00,1.8968,1.8976,1.8908,1.8976,386.2
2025-12-20 02:45:00,1.8989,1.8989,1.8982,1.8982,5132.6
2025-12-20 03:00:00,1.8979,1.8987,1.8952,1.8952,589.5
2025-12-20 03:15:00,1.8962,1.8972,1.8962,1.8972,75.1
2025-12-20 03:30:00,1.9,1.9085,1.8992,1.9068,762.3
