datetime,open,high,low,close,volume
2025-11-18 03:00:00,2.1311,2.177,2.1111,2.1656,5277.7
2025-11-18 04:00:00,2.1638,2.17,2.1362,2.164,15376.7
2025-11-18 05:00:00,2.1647,2.1727,2.1492,2.1586,777.0
2025-11-18 06:00:00,2.1569,2.1651,2.1362,2.1424,44572.1
2025-11-18 07:00:00,2.1407,2.1665,2.1282,2.1609,52716.7
2025-11-18 08:00:00,2.1667,2.1952,2.1667,2.1905,20710.2
2025-11-18 09:00:00,2.1903,2.1906,2.1681,2.1803,4791.7
2025-11-18 10:00:00,2.1843,2.1941,2.1843,2.1931,676.8
2025-11-18 11:00:00,2.1961,2.2,2.18,2.1831,5326.7
2025-11-18 12:00:00,2.1838,2.1951,2.175,2.1808,4469.2
2025-11-18 13:00:00,2.1876,2.1876,2.1562,2.1682,8549.1
2025-11-18 14:00:00,2.1707,2.2005,2.1663,2.173,8673.2
2025-11-18 15:00:00,2.1792,2.227,2.16,2.2121,55611.5
2025-11-18 16:00:00,2.2154,2.2376,2.2079,2.2268,24602.3
2025-11-18 17:00:00,2.2244,2.232,2.2119,2.2206,11692.3
2025-11-18 18:00:00,2.2212,2.2362,2.2197,2.2322,2576.4
2025-11-18 19:00:00,2.229,2.2398,2.2254,2.2254,5106.0
2025-11-18 20:00:00,2.2356,2.24,2.2271,2.2289,2832.4
2025-11-18 21:00:00,2.2295,2.2341,2.205,2.205,2330.2
2025-11-18 22:00:00,2.2059,2.2336,2.2059,2.2265,6088.0
2025-11-18 23:00:00,2.2264,2.2264,2.2132,2.2143,964.6
2025-11-19 00:00:00,2.2182,2.2182,2.194,2.2086,857.3
2025-11-19 01:00:00,2.2055,2.2114,2.1992,2.2029,2332.6
2025-11-19 02:00:00,2.2073,2.2175,2.2046,2.2107,712.7
2025-11-19 03:00:00,2.2107,2.2112,2.1809,2.1836,3510.5
2025-11-19 04:00:00,2.1826,2.1893,2.1707,2.1766,7262.7
2025-11-19 05:00:00,2.1708,2.1708,2.1293,2.1389,10120.3
2025-11-19 06:00:00,2.1331,2.1521,2.1331,2.1521,33802.1
2025-11-19 07:00:00,2.1496,2.1743,2.1496,2.1743,4882.2
2025-11-19 08:00:00,2.1667,2.1667,2.155,2.155,2502.8
2025-11-19 09:00:00,2.1507,2.1507,2.1333,2.1392,12959.8
2025-11-19 10:00:00,2.145,2.153,2.1412,2.1412,10217.4
2025-11-19 11:00:00,2.14,2.145,2.1315,2.1315,2643.7
2025-11-19 12:00:00,2.1328,2.1434,2.1259,2.1409,10174.4
2025-11-19 13:00:00,2.1408,2.1421,2.1219,2.1219,4136.2
2025-11-19 14:00:00,2.1258,2.1309,2.108,2.126,7629.6
2025-11-19 15:00:00,2.1337,2.1459,2.086,2.086,26738.5
2025-11-19 16:00:00,2.0905,2.102,2.0743,2.0794,66526.2
2025-11-19 17:00:00,2.0809,2.0854,2.0461,2.0584,66022.5
2025-11-19 18:00:00,2.055,2.0687,2.0373,2.0418,259458.6
2025-11-19 19:00:00,2.0408,2.05,2.031,2.0372,5375.3
2025-11-19 20:00:00,2.0394,2.0512,2.029,2.0512,15124.6
2025-11-19 21:00:00,2.0521,2.095,2.0504,2.0925,25360.5
2025-11-19 22:00:00,2.0925,2.0954,2.0741,2.0954,348056.9
2025-11-19 23:00:00,2.0918,2.1143,2.0917,2.1088,5356.3
2025-11-20 00:00:00,2.1036,2.1239,2.098,2.1114,14091.0
2025-11-20 01:00:00,2.1103,2.1334,2.0972,2.1264,2377.5
2025-11-20 02:00:00,2.1256,2.1398,2.1232,2.1248,7345.8
2025-11-20 03:00:00,2.1323,2.1393,2.13,2.1341,4750.5
2025-11-20 04:00:00,2.134,2.1448,2.1225,2.1448,12838.2
2025-11-20 05:00:00,2.1448,2.1499,2.1373,2.1425,8989.5
2025-11-20 06:00:00,2.1451,2.1451,2.1216,2.1216,98524.3
2025-11-20 07:00:00,2.1229,2.1374,2.1229,2.1374,1488.1
2025-11-20 08:00:00,2.1374,2.1385,2.1271,2.1288,4363.8
2025-11-20 09:00:00,2.1299,2.1299,2.1119,2.119,5700.1
2025-11-20 10:00:00,2.12,2.12,2.1114,2.1189,416.4
2025-11-20 11:00:00,2.115,2.116,2.108,2.116,7822.4
2025-11-20 12:00:00,2.1147,2.1297,2.1125,2.1297,2220.6
2025-11-20 13:00:00,2.1259,2.1401,2.1174,2.1288,5373.3
2025-11-20 14:00:00,2.1174,2.1333,2.095,2.1223,7980.9
2025-11-20 15:00:00,2.1116,2.114,2.0837,2.0855,11874.5
2025-11-20 16:00:00,2.0837,2.0903,2.001,2.0041,45041.3
2025-11-20 17:00:00,2.0156,2.0164,1.9888,2.0063,269338.8
2025-11-20 18:00:00,2.0001,2.0172,1.9864,1.9914,163823.0
2025-11-20 19:00:00,1.99,2.0189,1.9809,2.0188,126080.0
2025-11-20 20:00:00,2.0188,2.03,2.0,2.0165,38337.6
2025-11-20 21:00:00,2.0165,2.0431,2.0083,2.0244,43853.7
2025-11-20 22:00:00,2.0332,2.0715,2.0294,2.0526,8896.9
2025-11-20 23:00:00,2.0585,2.0585,1.9992,2.0,67469.5
2025-11-21 00:00:00,2.0154,2.029,2.0009,2.02,1129.4
2025-11-21 01:00:00,2.028,2.0299,2.0085,2.0161,14450.3
2025-11-21 02:00:00,2.0213,2.0242,1.98,1.98,94683.4
2025-11-21 03:00:00,1.9784,2.0,1.9691,1.99,135917.6
2025-11-21 04:00:00,1.9881,1.9899,1.9612,1.9873,8719.9
2025-11-21 05:00:00,1.9863,1.9957,1.9758,1.9866,4053.9
2025-11-21 06:00:00,1.9844,1.986,1.9588,1.9734,11430.1
2025-11-21 07:00:00,1.9807,1.9807,1.8666,1.9191,137226.7
2025-11-21 08:00:00,1.9205,1.9561,1.9187,1.937,15159.5
2025-11-21 09:00:00,1.9473,1.9524,1.905,1.905,67318.0
2025-11-21 10:00:00,1.9035,1.9126,1.8868,1.9015,18754.3
2025-11-21 11:00:00,1.9011,1.9126,1.8785,1.8793,8077.1
2025-11-21 12:00:00,1.8794,1.9228,1.8236,1.9061,51103.9
2025-11-21 13:00:00,1.9114,1.9449,1.9061,1.9346,14851.1
2025-11-21 14:00:00,1.9306,1.9645,1.9205,1.9547,12625.0
2025-11-21 15:00:00,1.9603,1.9603,1.9092,1.91,5714.6
2025-11-21 16:00:00,1.9202,1.956,1.8899,1.956,30646.1
2025-11-21 17:00:00,1.9558,2.0,1.9557,1.9825,41460.6
2025-11-21 18:00:00,1.9737,1.9858,1.9328,1.9649,7809.6
2025-11-21 19:00:00,1.9653,1.9747,1.9473,1.9506,8760.8
2025-11-21 20:00:00,1.9499,1.9546,1.9241,1.9506,1221.0
2025-11-21 21:00:00,1.9456,1.964,1.9294,1.964,1276.9
2025-11-21 22:00:00,1.9638,1.9645,1.9116,1.9116,10539.6
2025-11-21 23:00:00,1.9116,1.9554,1.9022,1.95,21392.8
2025-11-22 00:00:00,1.9516,1.9578,1.9339,1.9418,8281.6
2025-11-22 01:00:00,1.9466,1.9607,1.945,1.9607,7175.7
2025-11-22 02:00:00,1.9607,1.9637,1.94,1.9508,18928.7
2025-11-22 03:00:00,1.9508,1.9593,1.9439,1.9439,11877.0
2025-11-22 04:00:00,1.9439,1.9439,1.9172,1.94,8774.2
2025-11-22 05:00:00,1.9383,1.9383,1.9172,1.9344,875.6
2025-11-22 06:00:00,1.9344,1.9556,1.9241,1.9554,3814.5
2025-11-22 07:00:00,1.956,1.9567,1.9515,1.9515,2115.5
2025-11-22 08:00:00,1.9463,1.9463,1.9092,1.9136,1232.0
2025-11-22 09:00:00,1.9126,1.9253,1.9078,1.9126,6353.3
2025-11-22 10:00:00,1.9155,1.9195,1.9012,1.9018,3060.8
2025-11-22 11:00:00,1.9,1.9277,1.9,1.9208,1127.7
2025-11-22 12:00:00,1.9209,1.9209,1.8984,1.9059,997.7
2025-11-22 13:00:00,1.9059,1.9069,1.893,1.8992,747.6
2025-11-22 14:00:00,1.9015,1.9316,1.9015,1.9316,4318.3
2025-11-22 15:00:00,1.9317,1.9391,1.9245,1.9321,9514.9
2025-11-22 16:00:00,1.9352,1.95,1.9352,1.9457,1355.4
2025-11-22 17:00:00,1.9425,1.9455,1.9275,1.929,1778.5
2025-11-22 18:00:00,1.9319,1.9341,1.9237,1.9312,1202.2
2025-11-22 19:00:00,1.9355,1.9403,1.9264,1.9306,2203.9
2025-11-22 20:00:00,1.9299,1.9346,1.9212,1.9288,868.2
2025-11-22 21:00:00,1.9275,1.9369,1.9263,1.9369,748.7
2025-11-22 22:00:00,1.9319,1.9665,1.9298,1.9665,15053.3
2025-11-22 23:00:00,1.9585,1.9663,1.9467,1.9528,1324.0
2025-11-23 00:00:00,1.9531,1.9657,1.9514,1.963,34908.5
2025-11-23 01:00:00,1.9635,2.0101,1.9629,2.009,29343.0
